Database Individual number,Site_code,Sample_ID,Site,Region,Subregion,Agriculture,Prefecture,Long,Lat,Phase,Phase II,Period Code,Absolute chronology?,Typology,Form,Ceramic type,Concentration,d13C16,d13C18,bigD,TMTD,Pristanic,Phytanic,Percent_SRR,EH,APAA,EH_RM,APAA_C20_18,APAA_C20,Aquatic,Miliacin,PS,TAGS,SE
ENC166,NMC,NMC26IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,6,,,,no,no,no,,,no,no ,,no,no,no,0.84,,
ENC167,NMC,NMC27IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,yes,,,
ENC168,NMC,NMC28IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,5,,,,no,no,no,,,no,no ,,no,no,no,1.00,,
ENC169,NMC,NMC29IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,28,-27.377,-27.839,-0.462,no,no,yes,100.0,8.4,yes,yes,,no,no,yes,1.98,,
ENC170,NMC,NMC30IAE,Nakamichi,Chubu,Central Highlands,yes,Yamanashi,35.75463182,138.431831,Late Final Jomon,,,,,Cooking vessel,ceramic powder,2,,,,no,no,no,,,no,no ,,no,no,no,,,
ENC171,TSJ,TSJ01IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,1641,-27.404,-29.078,-1.674,no,no,yes,71.5,,no,no ,,no,no,yes,0.69,,
ENC172,TSJ,TSJ02IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2217,-27.295,-29.682,-2.387,yes,no,yes,71.0,8.6,yes,yes,0.063,yes,yes,yes,0.84,,
ENC173,TSJ,TSJ03IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2347,-27.424,-29.708,-2.284,yes,no,yes,71.2,5.3,yes,yes,,no,no,yes,0.83,,
ENC174,TSJ,TSJ04IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2733,-28.247,-31.266,-3.019,no,no,yes,71.5,3.3,yes,no ,,no,no,no,0.50,,
ENC175,TSJ,TSJ05IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,3353,-27.229,-29.15,-1.921,no,no,yes,70.9,7.4,yes,yes,0.041,yes,no,no,1.14,,
ENC176,TSJ,TSJ06IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,1837,-27.599,-30.05,-2.451,no,no,yes,67.2,,no,no ,,no,no,yes,0.86,,
ENC177,TSJ,TSJ07IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,3374,-27.228,-29.412,-2.184,no,no,yes,70.8,,no,no ,,no,no,yes,0.55,,
ENC178,TSJ,TSJ08IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,1721,-26.764,-28.657,-1.893,no,no,yes,59.8,4.8,yes,no ,,no,no,no,0.59,,
ENC179,TSJ,TSJ09IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,3657,-27.008,-29.272,-2.264,yes,yes,yes,64.1,6.9,yes,yes,0.117,yes,yes,yes,0.59,,
ENC180,TSJ,TSJ10IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,9825,-27.843,-30.573,-2.73,no,no,yes,53.6,2.4,yes,no ,0.043,yes,no,no,0.54,,
ENC181,TSJ,TSJ11IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2996,-27.028,-29.647,-2.619,yes,no,yes,58.1,5.4,yes,yes,0.065,yes,yes,no,0.88,,
ENC182,TSJ,TSJ12IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,4045,-27.332,-30.003,-2.671,yes,no,yes,61.4,5.0,yes,yes,0.078,yes,yes,no,0.53,,
ENC183,TSJ,TSJ13IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,3306,-26.945,-29.59,-2.645,yes,no,yes,58.1,6.1,yes,yes,0.034,yes,no,no,0.74,,
ENC184,TSJ,TSJ14IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,2912,-26.931,-29.508,-2.577,no?,no,yes,48.6,2.8,yes,no ,0.060,yes,yes,no,0.68,,
ENC185,TSJ,TSJ15IAE,Tenshoji,Chubu,Central Highlands,yes,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,,,,Cooking vessel,ceramic powder,1708,-26.888,-28.797,-1.909,no,no,no,,,no,no ,,no,no,yes,0.63,,
ENC342,ASA,ASA017FIAE,Asahi,Chubu,Tokai,yes,Aichi,35.1331,136.5121,Middle Yayoi,,,,,,foodcrust,,,,,yes,yes,yes,,,no,no ,,no,no,no,,No,
ENC488,MMZ,MMZ001I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,16,-27.731,-28.3,-0.569,yes,yes,yes,77.7,,no,no ,,no,no,no,1.58,,
ENC489,MMZ,MMZ002I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,17,-26.19,-27.803,-1.613,yes,yes,yes,60.4,,no,no ,,no,no,no,1.92,,
ENC490,MMZ,MMZ003I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,16,-26.501,-26.125,0.376,yes,yes,,54.5,,no,no ,,no,no,no,1.78,,
ENC491,MMZ,MMZ004I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,35,-25.301,-26.282,-0.981,yes,yes,yes,,,no,no ,,no,no,no,2.84,,
ENC492,MMZ,MMZ005I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,29,-28.109,-28.266,-0.157,yes,yes,no,75.6,,no,no ,,no,no,no,1.59,,
ENC493,MMZ,MMZ006I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,16,-27.081,-26.299,0.782,yes,yes,yes,,,no,no ,,no,no,no,1.83,,
ENC494,MMZ,MMZ007I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,78,-27.357,-28.626,-1.269,yes,yes,yes,82.8,,no,no ,,no,no,no,1.56,,
ENC495,MMZ,MMZ008I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,134,-21.985,-22.087,-0.102,yes,yes,yes,83.4,,no,no ,,no,no,no,3.40,,
ENC496,MMZ,MMZ009I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,78,-27.067,-27.488,-0.421,yes,yes,yes,84.7,,no,no ,,no,no,no,2.67,,
ENC497,MMZ,MMZ010I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,18,-28.916,-29.748,-0.832,yes,yes,yes,65.4,,no,no ,,no,no,no,9.11,,
ENC498,MMZ,MMZ011I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,24,-28.023,-28.789,-0.766,yes,yes,yes,75.4,,no,no ,0.234,yes,yes,no,1.44,,
ENC499,MMZ,MMZ012I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,51,-20.708,-23.193,-2.485,yes,yes,yes,84.3,4.5,yes,no ,,no,no,no,2.47,,
ENC500,MMZ,MMZ013I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,31,-28.834,-29.223,-0.389,yes,yes,yes,81.5,0.7,yes,no ,,no,no,no,1.77,,
ENC501,MMZ,MMZ014I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,45,-27.972,-29.026,-1.054,yes,yes,yes,78.6,2.8,yes,no ,,no,no,no,1.22,,
ENC502,MMZ,MMZ015I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,24,-27.85,-28.518,-0.668,yes,yes,yes,59.9,,no,no ,,no,no,no,1.69,,
ENC503,MMZ,MMZ016I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,21,-27.254,-28.67,-1.416,yes,yes,yes,54.6,,no,no ,,no,no,no,2.09,,
ENC504,MMZ,MMZ017I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,33,-30.505,-29.786,0.719,yes,yes,yes,71.3,,no,no ,,no,no,no,2.16,,
ENC505,MMZ,MMZ018I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,39,-29.064,-30.888,-1.824,yes,yes,yes,74.9,,no,no ,,no,no,no,1.10,,
ENC506,MMZ,MMZ019I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,27,-27.798,-29.019,-1.221,yes,yes,yes,51.3,,no,no ,,no,no,no,2.02,,
ENC507,MMZ,MMZ020I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,25,-27.314,-28.395,-1.081,yes,yes,yes,53.8,,no,no ,,no,no,no,1.81,,
ENC508,MMZ,MMZ021I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,85,-26.402,-28.131,-1.729,yes,yes,yes,84.7,5.9,yes,yes,,no,no,no,1.35,,
ENC509,MMZ,MMZ022I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,18,-27.905,-28.849,-0.944,yes,yes,yes,50.0,,no,no ,,no,no,no,1.61,,
ENC510,MMZ,MMZ023I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,93,-29.262,-31.305,-2.043,yes,yes,yes,52.2,,no,no ,,no,no,no,0.39,,
ENC511,MMZ,MMZ024I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,4,-26.851,-26.739,0.112,yes,yes,yes,,,no,no ,,no,no,no,,,
ENC512,MMZ,MMZ025I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,39,-22.34,-24.151,-1.811,yes,yes,yes,76.3,5.4,yes,yes,,no,no,no,1.84,,
ENC513,MMZ,MMZ026I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,127,-25.987,-25.704,0.283,yes,yes,yes,88.2,1.6,yes,no ,,no,no,no,3.72,,
ENC514,MMZ,MMZ027I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,20,-27.745,-28.572,-0.827,yes,yes,yes,79.9,,no,no ,,no,no,no,0.22,,
ENC515,MMZ,MMZ028I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,18,-28.742,-28.941,-0.199,yes,yes,yes,67.3,,no,no ,,no,no,no,1.63,,
ENC516,MMZ,MMZ029I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,82,-26.605,-26.0406,0.5644,yes,yes,no,92.1,3.9,yes,no ,,no,no,no,9.67,,
ENC517,MMZ,MMZ030I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,35,-25.833,-28.224,-2.391,yes,yes,yes,,4.9,yes,no ,,no,no,no,0.97,,
ENC518,MMZ,MMZ031I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,102,-26.874,-27.515,-0.641,yes,yes,yes,75.0,,no, no,0.075,yes,yes,no,0.97,,
ENC519,MMZ,MMZ032I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,163,-21.145,-20.768,0.377,yes,yes,no,76.9,1.9,yes, no,,no,no,no,1.42,,
ENC520,MMZ,MMZ033I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,28,-27.732,-28.126,-0.394,yes,yes,yes,,,no, no,,no,no,no,1.94,,
ENC521,MMZ,MMZ034I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,17,-29.456,-27.768,1.688,yes,yes,yes,74.9,,no, no,,no,no,no,1.63,,
ENC522,MMZ,MMZ035I,Mamizuka,Chubu,Tokai,yes,Aichi,35.29225684,136.821261,Final Jomon,,,,,,ceramic powder,29,-29.1,-29.283,-0.183,yes,yes,yes,72.2,1.5,yes, no,0.119,yes,yes,no,1.71,,
ENC571,UMK,UMK001,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,33,-26.9,-27.044,-0.144,yes,yes,no,81.2,5.3,yes, yes ,,no,no,no,1.63,,
ENC572,UMK,UMK002,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,56,-25.797,-25.709,0.088,yes,yes,yes,#DIV/0!,,no,no ,0.128,yes,yes,no,1.08,,
ENC573,UMK,UMK003,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,98,-21.234,-23.99,-2.756,yes,yes,yes,72.7,3.3,yes,no ,,no,no,no,1.54,,
ENC574,UMK,UMK004,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,105,-27.61,-30.455,-2.845,yes,yes,yes,55.5,2.4,yes,no ,,no,no,no,0.78,,
ENC575,UMK,UMK005,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,4813,-30.569,-28.722,1.847,yes,yes,yes,100.0,,no,no ,,no,no,no,0.71,,
ENC576,UMK,UMK006,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,23,-27.188,-26.712,0.476,yes,yes,yes,61.5,,no,no ,,no,no,no,1.79,,
ENC577,UMK,UMK007,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,13,-26.346,-24.773,1.573,yes,yes,yes,51.2,,no,no ,,no,no,no,0.86,,
ENC578,UMK,UMK008,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,11,-28.3531,-28.2706,0.0825,yes,yes,yes,57.9,,no,no ,,no,no,no,1.35,,
ENC579,UMK,UMK009,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,11,-27.2427,-25.5143,1.7284,yes,yes,yes,53.3,,no,no ,,no,no,no,1.17,,
ENC580,UMK,UMK010,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,7,-27.587,-27.236,0.351,yes,yes,yes,45.8,,no,no ,,no,no,no,2.24,,
ENC581,UMK,UMK011,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,12,-26.964,-26.386,0.578,yes,yes,yes,50.0,,no,no ,,no,no,no,1.50,,
ENC582,UMK,UMK012,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,17,-25.094,-25.555,-0.461,yes,yes,yes,51.9,,no,no ,,no,no,no,1.37,,
ENC583,UMK,UMK013,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,33,-26.928,-26.129,0.799,yes,yes,yes,88.9,,no,no ,,no,no,no,1.41,,
ENC584,UMK,UMK014,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,200,-24.402,-28.425,-4.023,yes,no,yes,50.0,,no,no ,,no,no,no,1.89,,
ENC585,UMK,UMK015,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,296,-28.346,-30.989,-2.643,yes,yes,yes,94.6,1.1,yes,no ,,no,no,no,0.72,,
ENC586,UMK,UMK016,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,160,-29.254,-31.289,-2.035,yes,yes,yes,58.5,0.9,yes,no ,,no,no,no,0.74,,
ENC587,UMK,UMK017,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,28,-23.491,-24.157,-0.666,yes,yes,yes,53.6,,no,no ,0.067,yes,yes,no,0.60,,
ENC588,UMK,UMK018,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,27,-26.333,-27.459,-1.126,yes,yes,yes,82.8,4.1,yes,no ,,no,no,no,1.51,,
ENC589,UMK,UMK019,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,95,-26.849,-28.591,-1.742,yes,yes,yes,55.9,,no,no ,0.154,yes,yes,no,0.94,,
ENC590,UMK,UMK020,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,153,-23.609,-25.694,-2.085,yes,yes,yes,73.9,4.9,yes,no ,,no,no,no,4.07,,
ENC591,UMK,UMK021,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,9,-25.6,-26.204,-0.604,no,no,yes,50.0,,no,no ,,no,no,no,1.09,,
ENC592,UMK,UMK022,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,94,-26.402,-28.894,-2.492,yes,yes,yes,66.5,,no,no ,,no,no,no,1.72,,
ENC593,UMK,UMK023,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,15,-28.049,-29.26,-1.211,yes,yes,yes,5.0,0.4,yes,no ,,no,no,no,0.76,,
ENC594,UMK,UMK024,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,158,-26.812,-29.558,-2.746,yes,yes,yes,70.6,0.3,yes,no ,,no,no,no,5.20,,
ENC595,UMK,UMK025,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,160,-27.204,-29.515,-2.311,no,no,no,65.6,,no,no ,,no,no,no,1.03,,
ENC596,UMK,UMK026,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,50,-26.647,-26.089,0.558,yes,yes,yes,,,no,no ,,no,no,no,0.52,,
ENC597,UMK,UMK027,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,11,-25.088,-24.833,0.255,,,,90.3,,no,no ,,no,no,no,0.96,,
ENC599,UMK,UMK028,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,13,-24.541,-26.442,-1.901,,,,,,no,no ,,no,,,2.28,,
ENC600,UMK,UMK029,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,543,-26.431,-29.585,-3.153,,,,,4.5,yes,no ,0.066,yes,yes,no,0.77,,
ENC601,UMK,UMK030,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,37,-25.915,-25.831,0.084,,,,,,no,no ,,no,no,no,1.47,,
ENC602,UMK,UMK031,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,277,-25.994,-28.739,-2.745,,,,,,no,no ,,no,no,no,0.50,,
ENC603,UMK,UMK032,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,21,-27.879,-28.84,-0.961,,,,,,no,no ,,no,no,no,1.08,,
ENC604,UMK,UMK033,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,19,-24.039,-25.13,-1.091,,,,,,no,no ,,no,no,no,1.71,,
ENC605,UMK,UMK034,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,20,-26.154,-27.149,-0.994,,,,,1.9,yes,no ,,no,no,no,1.62,,
ENC606,UMK,UMK035,Ushimaki,Chubu,Tokai,no,Aichi,35.207777,136.973055,Final Jomon,,,,,,ceramic powder,85,-29.587,-28.34,1.247,,,,,3.7,yes,no ,,no,no,no,4.32,,