Database Individual number,Site_code,Sample ID,Site,Region,Subregion,Prefecture,Long,Lat,Phase,Typology,Form,AE,AE TMS,SE,Total lipid yield after AE (μg g-1 ),Range of Saturated fatty acids (Fas),Unsaturated fatty acids,P/S,Branched chain fatty acids,α-ωdicarboxylic acids (diacids),Alkanes,Terpenes,Miliacin,Levoglucosane,α-Tocopherol,TMTD,Pristanic acid,Phytanic acid,SRR,ω-( o-alkylphenyl)alkanoic acids (APAAs),APAA_EH,18_20,d13C16,d13C18,bigD
ENC005,ASA,ASA003IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,50,C12:0-C30:0,"C18:1, C20:1",0.61,"C15i, a; C17i, a",C9-C16,,,,,,no,no,no,,,,,-25.316,-26.704,-1.388
ENC006,ASA,ASA004IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (IV),Jokonmon,Cooking vessel,X,X,X,10,C14:0-C34:0,C18:1,1,,,,,,no,no,no,no,yes,57,,,,,,
ENC007,ASA,ASA005IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Early (I) to Middle (II) Yayoi,Jokonmon,Cooking vessel,X,,,1660,C11:0-C26:0,"C18:1, C20:1",1.39,"C15i, a; C17i, a",C8-C14:0,,,,,,no,no,no,,"APAA16, APAA18, APAA20, APAA22",8.9,0.052,-27.03,-26.231,0.799
ENC008,ASA,ASA006IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III-IV),Ongagawa,Cooking vessel,X,X,,10,C13:0-C34:0,C18:1,1.58,"C15i, a; C17i, a",C10-C17,C26-C32 ,Methyl-DHA (tr),,,,no,no,no,,,,,,,
ENC010,ASA,ASA008IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III),Ongagawa,Cooking vessel,X,,,7,C12:0-C34:0,,0.26,"C15i, a; C17i, a",C9-C14:0,C26-C31 ,,,,,no,no,yes,58.1,,7.6,,,,
ENC011,ASA,ASA009IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III),Ongagawa,Cooking vessel,X,,,2,,,,,,,,,,,no,no,no,,,,,,,
ENC013,ASA,ASA011IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,146,C10:0-C28:0,C18:1,1.2,"C15i, a; C17i, a","C8,-C11",,,,,,yes,no,yes,76,"APAA16, APAA18, APAA20",11.4,0.046,-25.962,-26.06,-0.098
ENC016,ASA,ASA014IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (IV),Unknown,Cooking vessel,X,X,,121,C12:0-C32:0,C18:1,1.87,,C9-C12,C29-C30 ,,,,,no,no,no,,,,,-27.409,-28.055,-0.646
ENC017,ASA,ASA015IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III-IV),Jokonmon,Cooking vessel,X,,,7,C14:0-C38:0,C16:1; C18:1,1.11,"C15i, a; C17i, a",,,Methyl-DHA; 7-oxo-DHA,yes,,,no,yes,no,,,,,-27.653,-28.053,-0.4
ENC018,ASA,ASA016IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,,,7,C14:0-C32:0,C18:1,0.94,"C17i, a",,,,,,,no,no,no,,,,,,,
ENC019,ASA,ASA017IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (III),Ongagawa,Cooking vessel,X,,,44,C12:0-C36:0,C18:1,1.19,"C15i, a; C17i, a",,,,,,,no,yes,yes,41.9,,,,-27.659,-27.399,0.26
ENC020,ASA,ASA018IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,57,C13:0-C30:0,"C18:1, C20:1, C22:1",1.17,"C15i, a; C17i, a; C18i",C9-C13; C20,C27-C33,,,,,yes,no,yes,78.3,"APAA16 (tr),APAA18, APAA20",4.7,0.113,-26.616,-26.89,-0.274
ENC021,ASA,ASA019IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Cooking vessel,X,,,15,C13:0-C30:0,"C16:1; C18:1, C22:1",0.98,"C15i, a; C16i; C17i, a; C18i, a",C10-C13,C27-C33 ,,,,,no,no,yes,82.6,"APAA16, APAA18, APAA20",3.4,0.098,-28.153,-28.761,-0.608
ENC022,ASA,ASA020IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,X,9,C14:0-C26:0,"C16:1; C18:1, C22:1",1.02,"C15i, a; C16i; C17i, a",,C23-C33,Methyl-DHA (tr),,no,no,no,no,no,,,,,-27.868,-28.634,-0.766
ENC023,ASA,ASA021IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,5,,,,,,,,,,,no,no,yes,,,,,,,
ENC024,ASA,ASA022IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,X,43,C14:0-C28:0,"C16:1; C18:1, C22:1",0.8,"C15i, a; C17i, a",C13,C23-C33 ,Methyl-DHA,,no,no,no,no,no,,,,,-30.305,-29.899,0.406
ENC025,ASA,ASA023IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Bowl,X,,X,39,C14:0-C34:0,"C16:1; C18:1, C22:1",0.99,"C15i, a; C16i; C17i, a; C18i, a",C11-C13,C26-C33,Methyl-DHA (tr),,no,no,no,no,yes,80,,,,,,
ENC026,ASA,ASA024IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,X,24,C14:0-C34:0,C18:1; C20:1; C22:1; C24:1; C26:1; C28:1,1.82,"C15i, a; C17i, a",C13,C27-C31,,,no,no,no,no,yes,82.3,,,,-20.529,-24.544,-4.015
ENC027,ASA,ASA025IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,9,C14:0-C34:0,C18:1,0.62,"C15i, a; C16i; C17i, a; C18i",,C26-C33,,,,,no,no,yes,77.8,,,,-29.47,-29.46,0.01
ENC028,ASA,ASA026IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,2,,,,,,,,,,,no,no,no,,,,,,,
ENC029,ASA,ASA027IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,,,5,,,,,,,,,,,no,no,no,,,,,-29.644,-29.395,0.249
ENC030,ASA,ASA028IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,X,24,C14:0-C32:0,"C18:1, C20:1",0.69,"C15i, a; C16i; C17i, a; C18i",,,,,no,no,no,no,no,,APAA18,6.8,,-28.95,-31.49,-2.54
ENC031,ASA,ASA029IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,,,25,C14:0-C28:0,C18:1,0.69,"C15i, a; C17i, a",,C24-C33,Methyl-DHA (tr),,,,no,no,no,,,,,-29.865,-29.799,0.066
ENC032,ASA,ASA030IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,X,X,7,C14:0-C24:0,"C18:1, C22:1",0.68,,,,Methyl-DHA (tr),,no,no,no,no,no,,,,,-29.937,-29.649,0.288
ENC033,ASA,ASA031IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,10,C14:0-C20:0,,1.2,"C15i, a; C17i, a (only traces)",,,,,,,no,yes,no,,"APAA16, APAA18, APAA20",4,0.219,-26.755,-27.078,-0.323
ENC034,ASA,ASA032IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,,,4,C16:0-C18:0,,,,,,,,,,no,no,yes,,,,,,,
ENC035,ASA,ASA033IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Jokonmon,Cooking vessel,X,,,30,C14:0-C34:0,C18:1,0.79,"C15i, a; C16i; C17i, a; C18i",,C24-C35,,,,,no,no,no,,,,,-27.323,-29.438,-2.115
ENC036,ASA,ASA034IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Bowl,X,,,9,C14:0-C26:0,"C18:1, C20:1, C22:1",1.29,"C15i, a; C16i; C17i, a; C18i",,C26-C33,,,,,no,no,no,,,,,-27.988,-28.245,-0.257
ENC037,ASA,ASA035IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,8,C14:0-C30:0,C18:1,0.56,"C17i, a",,C25-C33,,,,,no,no,no,,,,,-29.881,-29.894,-0.013
ENC038,ASA,ASA036IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Bowl,X,,,23,C14:0-C34:0,"C18:1, C20:1, C22:1",0.99,"C15i, a; C16i; C17i, a; C18i",,C27-C31,,,,,no,no,yes,80.7,,,,-24.738,-26.002,-1.264
ENC039,ASA,ASA037IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,12,C14:0-C30:0,"C18:1, C22:1",0.53,"C15i, a; C16i; C17i, a; C18i",,C26; C28; C30-C33,,,no,no,no,no,no,,,,,-28.812,-29.211,-0.399
ENC040,ASA,ASA038IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,,148,C12:0-C30:0,C18:1,0.69,"C15i, a; C16i; C17i, a",C9-C13,,,,,,no,no,yes,77.1,"APAA16, APAA18, APAA20(tr)",1.4,,-30.979,-34.054,-3.075
ENC041,ASA,ASA039IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Bowl,X,X,,18,C14:0-C26:0,"C18:1, C22:1",0.74,"C15i, a; C16i; C17i, a; C18i",C13,,,,,,no,no,no,,,,,-29.908,-29.906,0.002
ENC042,ASA,ASA040IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,7,C15:0-C28:0,"C18:1, C22:1",0.58,"C15i, a; C16i; C17i, a; C18i (tr for all)",,C24-C33,,,,,no,no,no,,,,,-29.758,-29.74,0.018
ENC043,ASA,ASA041IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,54,C14:0-C26:0,"C18:1, C20:1",1.21,"C15i, a; C16i; C17i, a; C18i",C9-C15,,,,,,no,no,no,,,,,-26.298,-26.173,0.125
ENC044,ASA,ASA042IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,,,23,C14:0-C26:0,"C18:1, C22:1",0.81,"C15i, a; C16i; C17i, a",,C26-C33,,,,,no,no,no,,,,,-30.14,-29.813,0.327
ENC045,ASA,ASA043IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,,,9,C14:0-C28:0,"C18:1, C22:1",0.76,,,C26-C33,,,,,no,no,no,,,,,-29.652,-29.657,-0.005
ENC046,ASA,ASA044IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,,X,6,C14:0-C26:0,"C18:1, C22:1",0.57,,,,,,no,no,no,no,no,,,,,-29.589,-29.577,0.012
ENC047,ASA,ASA045IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,,,4,,,,,,,,,,,no,no,no,,,,,,,
ENC048,ASA,ASA046IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,X,X,39,C14:0-C28:0,"C18:1, C20:1, C22:1",0.76,"C15i, a (tr); C17i, a (tr)",,C25-C33 ,,,no,no,no,no,no,,,,,-30.317,-30.118,0.199
ENC049,ASA,ASA047IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,X,X,37,C14:0-C26:0,"C18:1, C18:2 (9-cis,11-trans)",2.02,,C9-C11,,Methyl-DHA (tr),,no,no,no,no,yes,89.2,,,,-26.833,-26.82,0.013
ENC050,ASA,ASA048IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,X,X,9,C14:0-C26:0,"C18:1, C22:1",1.49,"C15i, a; C16i; C17i, a",,,,yes,no,no,no,no,no,,,,,-28.863,-28.034,0.829
ENC051,ASA,ASA049IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,356,C14:0-C26:0,"C18:1, C20:1",1.15,"C15i, a; C16i; C17i, a; C18i",C9-C14,,,,,,no,no,no,,,,,-26.791,-25.869,0.922
ENC052,ASA,ASA050IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Bowl,X,,,4,,,,,,,,,,,no,no,yes,,,,,,,
ENC053,ASA,ASA051IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,X,34,C15:0-C34:0,"C18:1, C22:1",0.66,"C17i, a",C19-C22,"C26, C28, C30, C32",,,no,no,no,no?,yes,65.8,,,,-28.384,-29.006,-0.622
ENC054,ASA,ASA052IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,16,C14:0-C32:0,"C18:1, C22:1",0.78,,,C27-C31 ,,,no,no,no,no,yes,80.2,,,,-28.205,-28.818,-0.613
ENC055,ASA,ASA053IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,104,C14:0-C32:0,"C18:1, C20:1, C22:1",0.94,"C15i, a; C17i, a",,"C27, C29, C31",,,no,no,no,no,no,,,,,-26.551,-25.578,0.973
ENC056,ASA,ASA054IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Bowl,X,X,X,51,C14:0-C32:0,"C18:1, C22:1",1.44,"C15i, a; C17i, a",,C26-C33 ,,,no,no,no,no,yes,78.4,,,,-22.227,-27.954,-5.727
ENC057,ASA,ASA055IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,10,C14:0-C24:0,"C18:1, C20:1, C22:1",0.72,"C17i, a",,C25-C33,,,,,no,yes,no,,,,,-28.555,-29.173,-0.618
ENC058,ASA,ASA056IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,X,43,C14:0-C34:0,"C18:1, C20:1, C22:1",0.91,,"C11, C12",C26-C33,,,no,no,no,no,yes,65.2,,,,-29.607,-29.451,0.156
ENC059,ASA,ASA057IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Jar,X,X,X,25,C14:0-C24:0,"C18:1, C20:1",0.69,"C15i, a (tr); C17i, a (tr)",,C25-C33,,,no,no,no,no,no,,,,,-29.754,-29.576,0.178
ENC060,ASA,ASA058IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Jokonmon,Jar,X,,,19,C14:0-C28:0,"C18:1, C20:1, C22:1",0.66,"C15i, a (tr); C17i, a (tr)",,C27-C33,,,,,no,no,no,20.2,,,,-29.548,-29.338,0.21
ENC061,ASA,ASA059IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,21,C14:0-C34:0,"C18:1, C20:1, C22:1",0.58,"C17i, a (tr)",,C27-C33 ,,,no,no,no,no,no,,,,,-29.15,-29.161,-0.011
ENC062,ASA,ASA060IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,X,38,C14:0-C28:0,C18:1,0.72,"C15i, a (tr); C17i, a (tr)",,C26-C33 ,,,no,no,no,no,no,,,,,-29.528,-29.71,-0.182
ENC063,ASA,ASA061IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,26,C14:0-C30:0,"C18:1, C20:1, C22:1",1.54,"C15i, a; C16i; C17i, a; C18i",,C28-C31 ,,,no,no,yes,no,yes,85.5,,,,-21.882,-25.042,-3.16
ENC064,ASA,ASA062IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,,9,C14:0-C30:0,"C18:1, C22:1",0.64,"C15i, a (tr); C17i, a (tr)",,C27-C31,,,,,no,no,no,,,,,-28.452,-28.285,0.167
ENC065,ASA,ASA063IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,14,C14:0-C28:0,"C18:1, C22:1",0.71,"C17i, a (tr)",,C26-C33,,,,,no,yes,no,,,,,-29.223,-29.272,-0.049
ENC066,ASA,ASA064IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,8,C14:0-C32:0,C18:1,0.69,"C15i, a ; C17i, a",,,,,,,no,yes,no,,,,,-28.159,-28.973,-0.814
ENC067,ASA,ASA065IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,104,C12:0-C30:0,C18:1,1.18,"C15i, a ; C17i, a",C9-C13,,,,,,no,no,no,,"APAA18, APAA20(tr)",4.7,,-26.706,-26.244,0.462
ENC068,ASA,ASA066IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Unknown,Jar,X,,,40,C14:0-C28:0,C18:1,0.75,"C15i, a (tr); C17i, a (tr)",,C25-C33,,,,,no,no,no,,,,,-29.898,-30.066,-0.168
ENC069,ASA,ASA067IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Jokonmon,Bowl,X,,X,23,C14:0-C26:0,"C16:1; C18:1, C22:1",0.8,"C15i, a; C17i, a",C13,C26-C32,,,no,no,no,yes,no,,,,,-28.953,-28.228,0.725
ENC070,ASA,ASA068IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Jar,X,X,,17,C14:0-C26:0,"C18:1, C20:1, C22:1",1.2,"C17i, a (tr)",,C27-C32,,,,,no,no,no,,,,,-29.758,-28.686,1.072
ENC071,ASA,ASA069IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,,109,C12:0-C30:0,"C18:1, C20:1, C22:1",1.2,"C15i, a; C16i; C17i, a; C18i","C9 (high), C10-C15",C29-C32,,,,,yes,no,no,,"APAA16, APAA18, APAA20",4.4,0.126,-22.28,-21.528,0.752
ENC072,ASA,ASA070IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Bowl,X,,,37,C14:0-C26:0,"C18:1, C20:1, C22:1",1.47,"C15i, a; C16i; C17i, a; C18i",C11-C15,,,,,,yes,no,yes,73,,,,-24.573,-25.165,-0.592
ENC073,ASA,ASA071IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,7,C14:0-C32:0,"C18:1, C22:1",1.07,"C17i, a",,,,,,,yes,no,yes,78.8,,,,-26.179,-27.074,-0.895
ENC074,ASA,ASA072IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,18,C14:0-C32:0,"C18:1, C22:1",1.24,"C15i, a; C16i; C17i, a; C18i",C11-C13,C28-C33,,,,,yes,no,yes,74.7,,,,-27.29,-28.344,-1.054
ENC075,ASA,ASA073IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,14,C14:0-C30:0,"C18:1, C20:1, C22:1",0.81,"C15i, a; C16i; C17i, a",,C28-C31,,,no,no,no,no,no,,,,,-30.055,-30.045,0.01
ENC076,ASA,ASA074IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,2,,,,,,,,,,,no,no,yes,,,,,,,
ENC077,ASA,ASA075IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Jokonmon,Cooking vessel,X,,,5,,,,,,,,,,,no,no,no,,,,,,,
ENC078,ASA,ASA076IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,2,,,,,,,,,,,no,no,no,,,,,,,
ENC079,ASA,ASA077IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,3,,,,,,,,,,,no,no,yes,,,,,,,
ENC080,ASA,ASA078IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,73,C14:0-C34:0,"C18:1, C22:1",0.89,"C15i, a ; C17i, a",,"C27, C29, C31",,,no,no,no,no,no,,,,,-26.236,-25.053,1.183
ENC081,ASA,ASA079IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Jar,X,X,,49,C14:0-C28:0,"C18:1, C20:1, C22:1",0.71,"C15i, a ; C17i, a",,,,,,,no,no,no,,,,,-26.714,-25.678,1.036
ENC082,ASA,ASA080IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Jokonmon,Cooking vessel,X,,,16,C14:0-C26:0,"C18:1, C22:1",1.14,"C14i; C15i, a; C16i; C17i, a; C18i",,C27-C32,,,,,no,no,no,,APAA18,,,-29.312,-29.521,-0.209
ENC083,ASA,ASA081IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,55,C14:0-C34:0,"C18:1, C20:1",0.56,"C15i, a (tr); C17i, a (tr)",,,,,,,no,no,no,,,,,-25.632,-24.295,1.337
ENC084,ASA,ASA082IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,9,C14:0-C22:0,C18:1,0.87,"C17i, a",,,,,,,no,no,no,,,,,-29.859,-29.648,0.211
ENC085,ASA,ASA083IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,X,20,C14:0-C34:0,"C18:1, C22:1",1.04,,,C29-C32,,,no,no,no,no,no,,,,,-29.773,-29.306,0.467
ENC086,ASA,ASA084IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,,64,C14:0-C34:0,C18:1,0.72,,,,,,,,no,no,no,,,,,-26.237,-25.274,0.963
ENC087,ASA,ASA085IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,5,,,,,,,,,,,no,no,no,,,,,,,
ENC088,ASA,ASA086IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,85,C14:0-C34:0,"C18:1, C20:1",0.89,"C14:0i; C15i, a; C16i; C17i, a; C18i",,,,,,,no,no,yes,78.5,,,,-26.388,-25.033,1.355
ENC089,ASA,ASA087IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,19,C14:0-C30:0,"C18:1, C22:1",2.56,"C15i, a; C17i, a",,"C31, C32",,,,,yes,no,yes,58,,,,-22.635,-27.015,-4.38
ENC090,ASA,ASA088IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,50,C14:0-C24:0,"C18:1, C22:1",1.16,"C15i, a; C17i, a",,C26-C35,,,,,no,no,no,,,,,-29.674,-29.884,-0.21
ENC091,ASA,ASA089IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,X,75,C14:0-C34:0,C18:1,2.58,"C15i, a; C17i, a",,C25-C36 ,,,no,no,yes,no,no,,APAA18,8.2,,-32.147,-32.174,-0.027
