Database Individual number,Site_code,Sample ID,Site,Region,Subregion,Prefecture,Long,Lat,Phase,Typology,Form,AE,AE TMS,SE,Total lipid yield after AE (μg g-1 ),Range of Saturated fatty acids (Fas),Unsaturated fatty acids,P/S,Branched chain fatty acids,α-ωdicarboxylic acids (diacids),Alkanes,Terpenes,Miliacin,Levoglucosane,α-Tocopherol,TMTD,Pristanic acid,Phytanic acid,SRR,ω-( o-alkylphenyl)alkanoic acids (APAAs),APAA_EH,18_20,d13C16,d13C18,bigD
ENC092,ASA,ASA090IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Cooking vessel,X,X,,8,C14:0-C28:0,"C18:1, C22:1",0.72,"C14:0i; C15i, a; C16i; C17i, a",,C26-C33,,,,,no,no,no,,,,,-29.82,-29.824,-0.004
ENC093,ASA,ASA091IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Cooking vessel,X,,X,21,C14:0-C22:0,C18:1,0.72,"C15i, a; C17i, a",,C26-C33,,,no,no,no,no,no,,,,,-30.189,-29.838,0.351
ENC094,ASA,ASA092IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,,,2,,,,,,,,,,,no,no,no,,,,,,,
ENC095,ASA,ASA093IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,,,11,C14:0-C24:0,"C18:1, C22:1",1.08,"C14:0i; C15i, a; C16i; C17i, a; C18i",,,,,,,no,no,no,,,,,-27.213,-28.485,-1.272
ENC096,ASA,ASA094IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,,4,,,,,,,,,,,yes,no,yes,,,,,-26.885,-27.935,-1.05
ENC097,ASA,ASA095IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,,X,31,C14:0-C28:0,"C18:1, C22:1",1,"C14:0i; C15i, a; C16i; C17i, a; C18i",,C28-C33,,,no,no,no,no,no,,,,,-28.446,-29.036,-0.59
ENC098,ASA,ASA096IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,X,X,13,C14:0-C30:0,C18:1,1,"C17i, a",,,,,no,no,no,no,no,,APAA18,6.4,,-29.044,-29.045,-0.001
ENC099,ASA,ASA097IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,,,24,C14:0-C26:0,"C18:1, C22:1",1.14,"C14:0i; C15i, a; C16i; C17i, a",,C26,Methyl-DHA,,,,no,no,yes,76.7,,,,-29.512,-29.698,-0.186
ENC100,ASA,ASA098IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Jar,X,,,6,C14:0-C22:0,C18:1,1.07,"C15i, a (tr); C17i, a (tr)",,,Methyl-DHA,,,,no,no,no,,,,,-29.541,-29.606,-0.065
ENC101,ASA,ASA099IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Jar,X,,,19,C14:0-C26:0,C18:1,0.72,"C15i, a; C17i, a",,C28-C30,,,,,no,no,no,,,,,-29.473,-29.789,-0.316
ENC102,ASA,ASA100IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Jar,X,,,4,,,,,,,,,,,no,no,no,,,,,-29.627,-29.833,-0.206
ENC103,ASA,ASA101IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Bowl,X,,,15,C14:0-C24:0,"C18:1, C22:1",1.05,"C14i; C15i, a; C16i; C17i, a",,,,,,,no,no,no,,,,,-29.15,-29.18,-0.03
ENC104,ASA,ASA102IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Ongagawa,Cooking vessel,X,,,5,,,,,,,,,,,no,no,no,,,,,-29.285,-29.576,-0.291
ENC105,ASA,ASA103IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Jar,X,,,30,C14:0-C26:0,C16:1; C18:1; C22:1,1.3,"C15i, a; C17i, a (tr)",,,,,,,no,no,no,,,,,-29.91,-30.038,-0.128
ENC106,ASA,ASA104IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Jokonmon,Cooking vessel,X,X,X,31,C14:0-C32:0,"C18:1, C22:1",0.92,"C15i, a; C17i, a",,C26-C31 ,,,no,no,no,no,no,,,,,-29.718,-29.556,0.162
ENC107,ASA,ASA105IAE,Asahi(EY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Cooking vessel,X,X,X,265,C14:0-C28:0,C18:1,0.99,"C17i, a (tr)",C9-C13,,,,no,no,yes,no,no,,"APAA18, APAA20(tr)",5.5,,-26.157,-25.693,0.464
ENC108,ASA,ASA106IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Jar,X,,,66,C12:0-C26:0,"C18:1, C22:1",1.03,"C15i, a; C17i, a",C9-C11,C26-C33,Methyl-DHA (tr),,,,no,no,no,,,,,-30.029,-29.933,0.096
ENC109,ASA,ASA107IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Middle Yayoi (II),Unknown,Cooking vessel,X,X,X,24,C14:0-C29:0,"C16:1; C18:1, C22:1",1.04,"C15i, a; C17i, a",,,,,no,no,no,no,no,,,,,-29.446,-29.77,-0.324
ENC110,ASA,ASA108IAE,Asahi(MY),Chubu,Tokai,Aichi,35.22,136.86,Early Yayoi (I),Ongagawa,Bowl,X,,X,36,C14:0-C28:0,"C16:1; C18:1, C22:1",1.28,"C15i, a; C16i; C17i, a",C11,C26-C31,,,no,no,no,no,no,,,,,-28.884,-28.295,0.589
ENC111,NKY,NKY01IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,10,C14:0-C30:0,C18:1,1.14,"C15i, a; C16i; C17i, a",,C23-C28,Unidentified compound (Magnolol? tr: 24.268),,,,no,yes,no,,,,,,,
ENC112,NKY,NKY02IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,5,C14:0-C28:0,C18:1,,"C15i, a; C16i; C17i, a (only trace)",,,,,,,no,no,no,,,,,,,
ENC113,NKY,NKY03IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,18,C14:0-C26:0,C18:1,0.98,"C15i, a; C16i; C17i, a (only trace)",,C23-C29,Juvabione,,,,no,no,no,,,,,-29.505,-29.294,0.211
ENC114,NKY,NKY04IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,1,,,,,,,,,,,no,no,no,,,,,,,
ENC115,NKY,NKY05IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,X,16,C14:0-C28:0,C18:1,1.17,"C15i, a; C16i; C17i, a",,C23-C28,"Juvabione, Methyl-DHA",,no,no,no,no,no,,,,,-29.194,-29.11,0.084
ENC116,NKY,NKY06IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,39,C14:0-C30:0,C16:1; C18:1,1.23,"C15i, a; C16i; C17i, a (only trace)",,C22-C31,"Juvabione (tr), Methyl-DHA, 7-oxo-DHA",,,,no,no,no,,,,,-29.239,-29.19,0.049
ENC117,NKY,NKY07IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,43,C12:0-C30:0,"C18:1; C20:1, C22:1; C24:1",0.48,"C15i, a; C16i; C17i (only trace)",C9-C17,,"Juvabione (tr), Methyl-DHA (tr)",,,,no,no,no,,"APAA16, APAA18, APAA20",3.5,0.285,-29.253,-29.257,-0.004
ENC118,NKY,NKY08IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,45,C12:0-C30:0,"C18:1, C20:1",0.48,"C15i, a; C16i; C17i, a, C18i; C19i, a",C9-C15 (low),C25-C29,,,,,no,no,yes,71.9,"APAA18, APAA20",2.5,0.051,-27.727,-28.485,-0.758
ENC119,NKY,NKY09IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,9,C14:0-C28:0,C16:1; C18:1,1.09,"C15i, a; C16i; C17i, a",,C23-C29,Methyl-DHA; 7-oxo-DHA,,,,no,yes,no,,,,,-28.976,-28.942,0.034
ENC120,NKY,NKY10IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,28,C12:0-C28:0,C18:1; C18:2,1.22,"C15i, a; C16i; C17i, a",,C22-C31,Juvabione (tr),,,,no,no,no,,,,,-29.74,-29.591,0.149
ENC121,NKY,NKY11IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,30,C14:0-C30:0,C18:1,0.32,"C15i, a; C16i; C17i, a, C18i; C19i, a",C10-C18,,,,,,no,no,yes,66.7,,,,-27.217,-29.499,-2.282
ENC122,NKY,NKY12IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,17,C12:0-C28:0,C18:1,1.23,"C15i, a; C16i",,C23-C31,Methyl-DHA ; 7-oxo-DHA,,,,no,no,no,,,,,-29.272,-29.362,-0.09
ENC123,NKY,NKY13IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,X,,68,C14:0-C30:0,C18:1,0.26,"C15i, a; C16i; C17i, a, C18i; C19i, a",C13,,,,,,no,no,no,,,,,-26.873,-26.642,0.231
ENC124,NKY,NKY14IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,37,C12:0-C30:0,C18:1; C18:2; C22:1; C24:1,1.31,C15i; C16i; C17i,C9-C15,,Olean-18-ene ; Germanicol or lupeol,,,,no,no,no,,,,,-29.353,-29.658,-0.305
ENC125,NKY,NKY15IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,6,C12:0-C28:0,C18:1,1.19,"C15i, a; C16i; C17i, a",,,,,,,no,yes,no,,,,,-28.583,-28.323,0.26
ENC126,NKY,NKY16IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,3,,,,,,,,,,,no,yes,no,,,,,,,
ENC127,NKY,NKY17IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,9,C14:0-C32:0,C18:1,1.2,"C15i, a; C16i; C17i, a","C13, C15",,,,,,no,no,no,,,,,,,
ENC128,NKY,NKY18IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,5,C12:0-C30:0,C18:1,1.2,"C15i, a; C16i; C17i, a",,,,,,,no,yes,no,,,,,,,
ENC129,NKY,NKY19IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,2,,,,,,,,,,,no,no,no,,,,,,,
ENC130,NKY,NKY20IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,7,C14:0-C30:0,C18:1,0.8,,,,,,,,no,no,no,,,,,,,
ENC131,NKY,NKY21IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,14,C14:0-C30:0,C16:1; C18:1,1.28,"C15i, a; C16i; C17i, a",,,Methyl-DHA; 7oxo-DHA,,,,no,yes,no,,,,,-28.295,-28.35,-0.055
ENC132,NKY,NKY22IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,4,,,,,,,,,,,no,no,no,,"APAA18, APAA20",3.6,0.035,,,
ENC133,NKY,NKY23IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,4,,,,,,,,,,,no,no,no,,,,,,,
ENC134,NKY,NKY24IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,6,C14:0-C28:0,C16:1; C18:1,0.77,"C16i; C17i, a",,,Juvabione,,,,no,yes,no,,,,,-28.734,-28.914,-0.18
ENC135,NKY,NKY25IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,X,28,C14:0-C32:0,C18:1; C18:2,1.4,"C15i, a; C16i; C17i, a",C9-C13; C15; C17; C19; C21,C24; C25; C26; C27,"Methyl-DHA (tr); Lupeol, Olean-18-ene or lupeol derivative",,no,no,no,no,no,,"APAA18, APAA20",6.4,0.013,-29.197,-28.903,0.294
ENC136,NKY,NKY26IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,16,C14:0-C28:0,C18:1,0.93,"C15i, a; C16i; C17i, a",,C22-C30 ,Juvabione; Methyl-DHA; 7-oxo-DHA (tr),,,,no,no,no,,,,,-29.077,-28.747,0.33
ENC137,NKY,NKY27IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,X,23,C14:0-C32:0,"C16:1, C18:1; C18:2",1.44,"C15i, a; C16i; C17i, a",C11-C15,C27-C31 ,"Methyl-DHA (tr); Lupeol, Olean-18-ene or lupeol derivative",,no,no,no,yes,no,,,,,-28.871,-28.846,0.025
ENC138,NKY,NKY28IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,9,C14:0-C28:0,C18:1,0.82,"C15i, a; C16i; C17i, a",,C23-C27 ,Juvabione; Methyl-DHA (tr),,,,no,no,no,,,,,-28.985,-28.997,-0.012
ENC139,NKY,NKY29IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,,20,C14:0-C26:0,C18:1,1.03,"C15i, a; C16i; C17i, a",,C22-C30 ,Juvabione,,,,no,no,no,,,,,-29.76,-29.387,0.373
ENC140,NKY,NKY30IAE,Nakaya,Chubu,Central Highlands,Yamanashi,35.35016339,138.5528648,Early Final Jomon,,Cooking vessel,X,,X,12,C14:0-C26:0,C16:1; C18:1,1.12,"C15i, a; C16i; C17i, a",,C22-C26,Juvabione; Methyl-DHA (tr),,no,no,no,no,no,,,,,-29.205,-29.25,-0.045
ENC141,NMC,NMC01IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,X,59,C12:0-C32:0,C18:1; C18:2,0.32,"C15i, a; C16i; C17i, a",C9-C19,,,,no,no,no,no,yes,66.8,,,,-27.475,-31.128,-3.653
ENC142,NMC,NMC02IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,X,X,33,C14:0-C32:0,C18:1; C18:2,0.84,"C15i, a; C16i; C17i, a",C9-C13 (C9 relitively high),C27-C33,,,no,no,no,no,no,,,,,-26.061,-28.98,-2.919
ENC143,NMC,NMC03IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,X,11,C14:0-C32:0,C18:1,0.91,"C16i; C17i, a",,C23-C31 ,"Juvabione, Methyl-DHA",,no,no,yes,no,no,,,,,-29.403,-28.877,0.526
ENC144,NMC,NMC04IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,X,10,C12:0-C30:0,C18:1,0.99,"C15i, a; C16i; C17i, a",C15-C24 (Only traces),C24-C29 ,"Juvabione, Methyl-DHA; 7-oxo-DHA",,no,no,no,no,no,,,,,-29.069,-28.856,0.213
ENC145,NMC,NMC05IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,X,7,C12:0-C28:0,C18:1,0.83,"C15i, a; C16i; C17i, a",,C25-C33 ,"Juvabione,Methyl-DHA",,no,no,no,yes,no,,,,,-27.879,-28.534,-0.655
ENC146,NMC,NMC06IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,X,,61,C12:0-C24:0,,0.91,,C9-C20,,,,,,no,no,no,,"APAA16, APAA18",8.9,,-26.366,-26.701,-0.335
ENC147,NMC,NMC07IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,9,C12:0-C32:0,C18:1,1.13,"C15i, a; C16i; C17i, a",,,"Juvabione, Methyl-DHA",,,,no,no,no,,,,,-29.442,-29.142,0.3
ENC148,NMC,NMC08IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,X,,76,C12:0-C32:0,,0.52,"C15i, a; C16i; C17i, a",C11-C25,,,,,,no,no,yes,71,,,,-26.954,-29.941,-2.987
ENC149,NMC,NMC09IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,8,C12:0-C32:0,C18:1,0.41,,,,,,,,no,no,yes,66.3,,,,,,
ENC150,NMC,NMC10IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,128,C12:0-C30:0,,0.9,,C15-C24,,"Juvabione, Methyl-DHA; Retene (tr)",,,,no,no,no,,,,,-28.88,-29.314,-0.434
ENC151,NMC,NMC11IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,X,2,,,,,,,,,no,no,no,no,no,,,,,,,
ENC152,NMC,NMC12IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,X,,191,C12:0-C30:0,,2.06,"C15i; C16i; C17i, a",C9-C18 (DAs high),,,,,,no,no,yes,84.4,"APAA16, APAA18",6.8,,-23.208,-25.533,-2.325
ENC153,NMC,NMC13IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,4,,,,,,,,,,,no,no,no,,,,,-28.511,-28.611,-0.1
ENC154,NMC,NMC14IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,6,C14:0-C32:0,C18:1,0.99,"C16i; C17i, a",,,,,,,no,no,no,,,,,-29.532,-29.52,0.012
ENC155,NMC,NMC15IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,31,C13:0-C31:0,,1.39,"C15i,a; C16i; C17i, a",C13-C27,,,,,,no,no,no,,,,,,,
ENC156,NMC,NMC16IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,2,,,,,,,"Methyl-DHA; 7-oxo-DHA (tr), retene",,,,no,no,no,,,,,,,
ENC157,NMC,NMC17IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,5,C14:0-C28:0,C18:1,1.01,,,,Methyl-DHA; 7-oxo-DHA (tr),,,,no,no,no,,,,,,,
ENC158,NMC,NMC18IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,4,C14:0-C28:0,C18:1,,,,,"Juvabione, Methyl-DHA; 7-oxo-DHA (tr), retene (tr)",,,,no,no,no,,,,,,,
ENC159,NMC,NMC19IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,X,,467,C12:0-C26:0,,2.38,"C15i,a; C16i; C17i, a",C9-C16,,,,,,no,no,yes,56.2,"APAA16, APAA18",5.2,,-25.577,-28.1,-2.523
ENC160,NMC,NMC20IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,2,,,,,,,"Methyl-DHA (tr); 7-oxo-DHA (tr), retene (tr)",,,,no,no,no,,,,,,,
ENC161,NMC,NMC21IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,16,C14:0-C30:0,C18:1,0.43,"C16i; C17i, a",C11-C20,,"Juvabione, Methyl-DHA",,,,no,yes,yes,77.3,,,,-27.613,-28.255,-0.642
ENC162,NMC,NMC22IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,2,,,,,,,,,,,no,no,yes,,,,,,,
ENC163,NMC,NMC23IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,726,C14:0-C24:0,C18:1; C18:2,0.46,"C17i, a",C9 (high)-C11,,,,,,no,no,no,,,,,-27.204,-26.55,0.654
ENC164,NMC,NMC24IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,10,C14:0-C24:0,,2.39,C16i; C17i,,C16-C19,"Juvabione, Methyl-DHA (tr); retene (tr)",,,,no,yes,no,,,,,,,
ENC165,NMC,NMC25IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,1,,,,,,,,,,,no,no,no,,,,,,,
ENC166,NMC,NMC26IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,6,C16:0-C30:0,,0.84,,,,,,,,no,no,no,,,,,,,
ENC167,NMC,NMC27IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,2,,,,,,,,yes,,,no,no,no,,,,,,,
ENC168,NMC,NMC28IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,5,C14:0-C30:0,C18:1,1,C16i; C17i,,C23-C25 ,,,,,no,no,no,,,,,,,
ENC169,NMC,NMC29IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,28,C14:0-C30:0,C18:1,1.98,"C15i; C16i; C17i, a",C10-C17,,,yes,,,no,no,yes,0,"APAA16, APAA18",8.4,,-27.377,-27.839,-0.462
ENC170,NMC,NMC30IAE,Nakamichi,Chubu,Central Highlands,Yamanashi,35.75463182,138.431831,Late Final Jomon,,Cooking vessel,X,,,2,,,,,,,Methyl-DHA (tr); 7-oxo-DHA (tr),,,,no,no,no,,,,,,,
ENC171,TSJ,TSJ01IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,1641,C14:0-C32:0,"C18:1, C22:1",0.69,"C14i; C15i, a; C16i; C17i, a; C18i; C19i, a; C20i; C21i, a; C22i",C9-C23,,,yes,no,no,no,no,yes,71.5,APAA18,,,-27.404,-29.078,-1.674
