Database Individual number,Site_code,Sample ID,Site,Region,Subregion,Prefecture,Long,Lat,Phase,Typology,Form,AE,AE TMS,SE,Total lipid yield after AE (μg g-1 ),Range of Saturated fatty acids (Fas),Unsaturated fatty acids,P/S,Branched chain fatty acids,α-ωdicarboxylic acids (diacids),Alkanes,Terpenes,Miliacin,Levoglucosane,α-Tocopherol,TMTD,Pristanic acid,Phytanic acid,SRR,ω-( o-alkylphenyl)alkanoic acids (APAAs),APAA_EH,18_20,d13C16,d13C18,bigD
ENC172,TSJ,TSJ02IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,2217,C12:0-C30:0,C18:1; C18:2,0.84,"C15i, a; C16i; C17i, a; C18i",C9-C18,,,yes,no,no,yes,no,yes,71,"APAA16, APAA18, APAA20",8.6,0.063,-27.295,-29.682,-2.387
ENC173,TSJ,TSJ03IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,2347,C12:0-C28:0,C18:1,0.83,"C15i, a; C16i; C17i, a; C18i; C19",C9-C21,,,yes,no,no,yes,no,yes,71.2,"APAA16, APAA18",5.3,,-27.424,-29.708,-2.284
ENC174,TSJ,TSJ04IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,2733,C12:0-C26:0,,0.5,,,,,,no,no,no,no,yes,71.5,APAA18,3.3,,-28.247,-31.266,-3.019
ENC175,TSJ,TSJ05IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,3353,,,1.14,,,,,,no,no,no,no,yes,70.9,"APAA16, APAA18, APAA20",7.4,0.041,-27.229,-29.15,-1.921
ENC176,TSJ,TSJ06IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,1837,C12:0-C30:0,C18:1,0.86,"C14i; C15i, a; C16i; C17i, a; C18i; C19i",C9-C18,,,yes,no,no,no,no,yes,67.2,,,,-27.599,-30.05,-2.451
ENC177,TSJ,TSJ07IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,3374,,,0.55,,,,,yes,no,no,no,no,yes,70.8,,,,-27.228,-29.412,-2.184
ENC178,TSJ,TSJ08IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,X,X,1721,C12:0-C32:0,C18:1,0.59,"C15i, a; C16i; C17i, a; C18i; C19i, a",C9-C20,,-,,no,no,no,no,yes,59.8,"APAA16, APAA18",4.8,,-26.764,-28.657,-1.893
ENC179,TSJ,TSJ09IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,X,X,3657,C12:0-C32:0,"C18:1, C20:1",0.59,"C14i; C15i, a; C16i; C17i, a; C18i; C19i, a",C9-C20,,-,yes,no,no,yes,yes,yes,64.1,"APAA16, APAA18, APAA20",6.9,0.117,-27.008,-29.272,-2.264
ENC180,TSJ,TSJ10IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,9825,,,0.54,,,,,,no,no,no,no,yes,53.6,"APAA16, APAA18, APAA20",2.4,0.043,-27.843,-30.573,-2.73
ENC181,TSJ,TSJ11IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,2996,C12:0-C32:0,C18:1,0.88,"C15i, a; C16i; C17i, a; C18i; C19i, a",C9-C20,,-,,no,no,yes,no,yes,58.1,"APAA16, APAA18, APAA20",5.4,0.065,-27.028,-29.647,-2.619
ENC182,TSJ,TSJ12IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,,X,4045,C14:0-C28:0,C18:1,0.53,"C15i, a; C16i; C17i, a; C18i; C19i, a",C9-C18,,,,no,no,yes,no,yes,61.4,"APAA16, APAA18, APAA20",5,0.078,-27.332,-30.003,-2.671
ENC183,TSJ,TSJ13IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,X,X,3306,C10:0-C32:0,C18:1,0.74,"C14i; C15i, a; C16i; C17i, a; C18i; C19i, a",C9-C20,,,,no,no,yes,no,yes,58.1,"APAA16, APAA18, APAA20",6.1,0.034,-26.945,-29.59,-2.645
ENC184,TSJ,TSJ14IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,X,X,2912,C12:0-C30:0,C18:1,0.68,"C14i; C15i, a; C16i; C17i, a; C18i; C19i, a",C9-C19,,-,,no,no,no?,no,yes,48.6,"APAA16, APAA18, APAA20",2.8,0.06,-26.931,-29.508,-2.577
ENC185,TSJ,TSJ15IAE,Tenshoji,Chubu,Central Highlands,Yamanashi,35.3339,138.569,Early to Middle Yayoi,,Cooking vessel,X,X,X,1708,C12:0-C32:0,C18:1; C18:2,0.63,"C14i; C15i, a; C16i; C17i, a; C18i; C19i, a; C20i; C21i, a; C22i",C9-C20,,-,yes,no,no,no,no,no,,,,,-26.888,-28.797,-1.909
ENC488,MMZ,MMZ001I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,16,C16:0-C18:0,C18:1,1.58,-,,,Methyl-DHA,,,,yes,yes,yes,77.7,,,,-27.731,-28.3,-0.569
ENC489,MMZ,MMZ002I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,17,C16:0-C18:0,C18:1,1.92,,,,Methyl-DHA; 7-oxo-DHA,,,,yes,yes,yes,60.4,,,,-26.19,-27.803,-1.613
ENC490,MMZ,MMZ003I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,16,C14:0-C28:0,C18:1,1.78,,,,Methyl-DHA; 7-oxo-DHA,,,,yes,yes,,54.5,,,,-26.501,-26.125,0.376
ENC491,MMZ,MMZ004I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,35,,,2.84,,,,Methyl-DHA,,,,yes,yes,yes,,,,,-25.301,-26.282,-0.981
ENC492,MMZ,MMZ005I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,X,29,C12:0-C30:0,C18:1,1.59,,,,Methyl-DHA; 7-oxo-DHA,,no,no,yes,yes,no,75.6,,,,-28.109,-28.266,-0.157
ENC493,MMZ,MMZ006I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,X,16,C14:0-C28:0,C18:1,1.83,,,,-,,no,no,yes,yes,yes,,,,,-27.081,-26.299,0.782
ENC494,MMZ,MMZ007I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,X,78,C14:0-C28:0,C18:1,1.56,,,,-,,no,no,yes,yes,yes,82.8,,,,-27.357,-28.626,-1.269
ENC495,MMZ,MMZ008I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,X,134,C12:0-C30:0,C18:1,3.4,,C8-C11,,,,no,no,yes,yes,yes,83.4,,,,-21.985,-22.087,-0.102
ENC496,MMZ,MMZ009I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,78,C14:0-C28:0,C18:1,2.67,"C15i, a; C17i, a",,,,,,,yes,yes,yes,84.7,,,,-27.067,-27.488,-0.421
ENC497,MMZ,MMZ010I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,18,C14:0-C28:0,C16:1; C18:1,9.11,"C15i, a; C17i, a",,,,,,,yes,yes,yes,65.4,,,,-28.916,-29.748,-0.832
ENC498,MMZ,MMZ011I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,24,C14:0-C28:0,C18:1,1.44,"C15i, a; C17i, a",,,,,,,yes,yes,yes,75.4,,,,-28.023,-28.789,-0.766
ENC499,MMZ,MMZ012I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,X,51,C14:0-C28:0,C18:1,2.47,"C15i, a; C17i, a",C9-C12,,,,no,no,yes,yes,yes,84.3,"APAA16, APAA18, APAA20",4.5,0.234,-20.708,-23.193,-2.485
ENC500,MMZ,MMZ013I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,31,C12:0-C30:0,C18:1,1.77,"C15i, a; C17i, a",,,Methyl-DHA,,,,yes,yes,yes,81.5,APAA18,0.7,,-28.834,-29.223,-0.389
ENC501,MMZ,MMZ014I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,45,,,1.22,,,,,,,,yes,yes,yes,78.6,APAA18,2.8,,-27.972,-29.026,-1.054
ENC502,MMZ,MMZ015I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,24,,,1.69,,,,,,,,yes,yes,yes,59.9,,,,-27.85,-28.518,-0.668
ENC503,MMZ,MMZ016I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,X,21,,,2.09,,,,,,no,no,yes,yes,yes,54.6,,,,-27.254,-28.67,-1.416
ENC504,MMZ,MMZ017I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,33,C12:0-C30:0,C18:1,2.16,"C15i, a; C17i, a",,,Methyl-DHA,,,,yes,yes,yes,71.3,,,,-30.505,-29.786,0.719
ENC505,MMZ,MMZ018I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,39,,,1.1,,,,,,,,yes,yes,yes,74.9,,,,-29.064,-30.888,-1.824
ENC506,MMZ,MMZ019I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,27,C12:0-C30:0,C18:1,2.02,"C15i, a; C17i, a",,,,,,,yes,yes,yes,51.3,,,,-27.798,-29.019,-1.221
ENC507,MMZ,MMZ020I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,25,C14:0-C28:0,C16:1; C18:1,1.81,"C15i, a; C17i, a",,,,,,,yes,yes,yes,53.8,,,,-27.314,-28.395,-1.081
ENC508,MMZ,MMZ021I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,X,85,C12:0-C28:0,"C14:1, C16:1, C18:1, C20:1",1.35,"C15i, a; C17i, a",C8-C12,,Methyl-DHA,,no,no,yes,yes,yes,84.7,"APAA16, APAA18",5.9,,-26.402,-28.131,-1.729
ENC509,MMZ,MMZ022I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,18,C14:0-C28:0,C16:1; C18:1,1.61,"C15i, a; C17i, a",,,-,,,,yes,yes,yes,50,,,,-27.905,-28.849,-0.944
ENC510,MMZ,MMZ023I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,93,C8:0-C34:0,C16:1; C18:1,0.39,"C15i, a; C17i, a",C20-C22,,-,,,,yes,yes,yes,52.2,,,,-29.262,-31.305,-2.043
ENC511,MMZ,MMZ024I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,4,C16:0-C18:0,-,,-,,,-,,,,yes,yes,yes,,,,,-26.851,-26.739,0.112
ENC512,MMZ,MMZ025I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,39,C14:0-C24:0,C18:1,1.84,"C15i, a; C17i, a",C9-13,,-,,,,yes,yes,yes,76.3,APAA18,5.4,,-22.34,-24.151,-1.811
ENC513,MMZ,MMZ026I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,127,C10:0-C24:0,"C16:1, C18:1, C20:1",3.72,"C15i, a; C17i, a",C8-C11,,-,,,,yes,yes,yes,88.2,APAA18,1.6,,-25.987,-25.704,0.283
ENC514,MMZ,MMZ027I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,X,20,C10:0-C26:0,C16:1; C18:1,0.22,"C15i, a; C17i, a",,,-,,no,no,yes,yes,yes,79.9,,,,-27.745,-28.572,-0.827
ENC515,MMZ,MMZ028I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,X,18,C14:0-C28:0,C18:1,1.63,"C15i, a; C17i, a",,,-,,no,no,yes,yes,yes,67.3,,,,-28.742,-28.941,-0.199
ENC516,MMZ,MMZ029I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,82,C14:0-C28:0,C18:1,9.67,"C15i, a; C17i, a",C8-C18,,-,,,,yes,yes,no,92.1,APAA18,3.9,,-26.605,-26.0406,0.5644
ENC517,MMZ,MMZ030I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,35,C14:0-C28:0,C18:1,0.97,"C15i, a; C17i, a",C8-C14,,-,,,,yes,yes,yes,,APAA18,4.9,,-25.833,-28.224,-2.391
ENC518,MMZ,MMZ031I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,X,102,C14:0-C30:0,C16:1; C18:1,0.97,"C15i, a; C17i, a",C9-C14,,,,no,no,yes,yes,yes,75,,,,-26.874,-27.515,-0.641
ENC519,MMZ,MMZ032I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,X,,163,C14:0-C28:0,C18:1,1.42,"C15i, a; C17i, a",C8-C16,,-,,,,yes,yes,no,76.9,"APAA16, APAA18, APAA20, APAA22",1.9,0.075,-21.145,-20.768,0.377
ENC520,MMZ,MMZ033I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,28,C10:0-C28:0,C16:1; C18:1,1.94,"C15i, a; C17i, a",,,-,,,,yes,yes,yes,,,,,-27.732,-28.126,-0.394
ENC521,MMZ,MMZ034I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,17,C10:0-C28:0,C16:1; C18:1,1.63,"C15i, a; C17i, a",,,-,,,,yes,yes,yes,74.9,,,,-29.456,-27.768,1.688
ENC522,MMZ,MMZ035I,Mamizuka,Chubu,Tokai,Aichi,35.29225684,136.821261,Final Jomon,,Cooking vessel,X,,,29,C10:0-C32:0,C16:1; C18:1,1.71,"C15i, a; C17i, a",,,-,,,,yes,yes,yes,72.2,APAA18,1.5,,-29.1,-29.283,-0.183
ENC571,UMK,UMK001,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,33,C12:0-C26:0,C18:1,1.63,,C10-C13,,,,no,no,yes,yes,yes,81.2,"APAA16, APAA18, APAA20",5.3,0.119,-26.9,-27.044,-0.144
ENC572,UMK,UMK002,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,56,C12:0-C26:0,C18:1,1.08,"C15i, a; C17i, a",-,,,,no,no,yes,yes,no,,,,,-25.797,-25.709,0.088
ENC573,UMK,UMK003,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,98,C12:0-C28:0,"C18:1, C22:1",1.54,"C15i, a; C17i, a",C9-C15,,,,,,yes,yes,yes,72.7,"APAA16, APAA18, APAA20",3.3,0.128,-21.234,-23.99,-2.756
ENC574,UMK,UMK004,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,,105,C12:0-C30:0,C18:1,0.78,"C15i, a; C17i, a",,,,,,,yes,yes,yes,55.5,APAA18,2.4,,-27.61,-30.455,-2.845
ENC575,UMK,UMK005,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,,4813,C12:0-C30:0,C18:1,0.71,"C15i, a; C17i, a",,,,,,,yes,yes,yes,100,,,,-30.569,-28.722,1.847
ENC576,UMK,UMK006,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,,23,C12:0-C30:0,C18:1,1.79,"C15i, a; C17i, a",,,,,,,yes,yes,yes,61.5,,,,-27.188,-26.712,0.476
ENC577,UMK,UMK007,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,13,C12:0-C26:0,"C18:1, C22:1",0.86,"C15i, a; C17i, a",,,,,,,yes,yes,yes,51.2,,,,-26.346,-24.773,1.573
ENC578,UMK,UMK008,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,,11,C12:0-C26:0,C18:1,1.35,"C15i, a; C17i, a",,,,,,,yes,yes,yes,57.9,,,,-28.3531,-28.2706,0.0825
ENC579,UMK,UMK009,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,,11,C12:0-C26:0,C18:1,1.17,"C15i, a; C17i, a",,,,,,,yes,yes,yes,53.3,,,,-27.2427,-25.5143,1.7284
ENC580,UMK,UMK010,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,,7,C12:0-C24:0,C18:1,2.24,"C15i, a; C17i, a",,,,,,,yes,yes,yes,45.8,,,,-27.587,-27.236,0.351
ENC581,UMK,UMK011,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,12,C12:0-C30:0,C18:1,1.5,"C15i, a; C17i, a",C10-C12,,,,,,yes,yes,yes,50,,,,-26.964,-26.386,0.578
ENC582,UMK,UMK012,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,17,C12:0-C30:0,C18:1,1.37,"C15i, a; C17i, a",C10-C12,,Methyl-DHA,,,,yes,yes,yes,51.9,,,,-25.094,-25.555,-0.461
ENC583,UMK,UMK013,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,33,C12:0-C30:0,C18:1,1.41,"C15i, a; C17i, a",,,,,,,yes,yes,yes,88.9,,,,-26.928,-26.129,0.799
ENC584,UMK,UMK014,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,200,C10:0-C30:0,C18:1,1.89,"C15i, a; C17i, a",C10-C16,,,,no,no,yes,no,yes,50,,,,-24.402,-28.425,-4.023
ENC585,UMK,UMK015,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,X,296,C10:0-C30:0,C18:1,0.72,"C15i, a; C17i, a",,,,,no,no,yes,yes,yes,94.6,APAA18,1.1,,-28.346,-30.989,-2.643
ENC586,UMK,UMK016,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,X,160,C10:0-C30:0,C18:1,0.74,"C15i, a; C17i, a",,,,,no,no,yes,yes,yes,58.5,APAA18,0.9,,-29.254,-31.289,-2.035
ENC587,UMK,UMK017,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,28,C12:0-C28:0,C16:1; C18:1,0.6,"C15i, a; C17i, a",,C27-C29,,,,,yes,yes,yes,53.6,,,0.067,-23.491,-24.157,-0.666
ENC588,UMK,UMK018,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,,,27,C14:0-C26:0,"C18:1, C20:1, C22:1",1.51,"C15i, a; C17i, a",C9-C16,,,,,,yes,yes,yes,82.8,"APAA16, APAA18, APAA20, APAA22(tr)",4.1,,-26.333,-27.459,-1.126
ENC589,UMK,UMK019,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,95,C10:0-C32:0,C18:1,0.94,"C15i, a; C17i, a",C9-C16,,,,,,yes,yes,yes,55.9,,,0.154,-26.849,-28.591,-1.742
ENC590,UMK,UMK020,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,153,C14:0-C26:0,C18:1,4.07,"C15i, a; C17i, a",C9-C18,,,,no,no,yes,yes,yes,73.9,"APAA16, APAA18, APAA20, APAA22",4.9,,-23.609,-25.694,-2.085
ENC591,UMK,UMK021,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,9,,,1.09,,,,,,,,no,no,yes,50,,,,-25.6,-26.204,-0.604
ENC592,UMK,UMK022,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,94,C10:0-C32:0,C18:1,1.72,"C15i, a; C17i, a",,,,,,,yes,yes,yes,66.5,,,,-26.402,-28.894,-2.492
ENC593,UMK,UMK023,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,15,C14:0-C28:0,"C18:1, C20:1",0.76,,C10-C16,,,,,,yes,yes,yes,5,APAA18,0.4,,-28.049,-29.26,-1.211
ENC594,UMK,UMK024,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,158,C16:0-C18:0,C18:1,5.2,,C9-C16,,,,no,no,yes,yes,yes,70.6,APAA18,0.3,,-26.812,-29.558,-2.746
ENC595,UMK,UMK025,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,160,C14:0-C32:0,C16:1; C18:1,1.03,"C15i, a; C17i, a",C9-C16,,,,no,no,no,no,no,65.6,,,,-27.204,-29.515,-2.311
ENC596,UMK,UMK026,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,50,C12:0-C30:0,C18:1,0.52,"C15i, a; C17i, a",C10-C16,,,,,,yes,yes,yes,,,,,-26.647,-26.089,0.558
ENC597,UMK,UMK027,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,11,C14:0-C30:0,C16:1; C18:1,0.96,"C15i, a; C17i, a",,,,,,,yes,yes,yes,90.3,,,,-25.088,-24.833,0.255
ENC599,UMK,UMK028,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,13,C16:0-C18:0,C16:1; C18:1,2.28,,,,-,,no,no,yes,yes ,no,0,,,,-24.541,-26.442,-1.901
ENC600,UMK,UMK029,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,543,C12:0-C28:0,C18:1,0.77,"C15i, a; C17i, a",C8-C16,,-,,,,yes,yes ,yes,60.8646,"APAA18, APAA20",4.5,0.066,-26.431,-29.585,-3.153
ENC601,UMK,UMK030,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,37,C12:0-C28:0,"C16:1, C18:1, C20:1, C22:1, C23:1",1.47,"C15i, a; C17i, a",,,,,,,yes,yes ,no,0,,,,-25.915,-25.831,0.084
ENC602,UMK,UMK031,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,277,C14:0-C32:0,-,0.5,,,C27-C29,,,no,no,yes,yes ,yes,68.94175,,,,-25.994,-28.739,-2.745
ENC603,UMK,UMK032,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,21,C14:0-C30:0,C18:1,1.08,,,,,,,,yes,yes ,yes,70.76023,,,,-27.879,-28.84,-0.961
ENC604,UMK,UMK033,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,19,C14:0-C28:0,C18:1,1.71,"C15i, a; C17i, a",,,-,,,,yes,yes ,no,0,,,,-24.039,-25.13,-1.091
ENC605,UMK,UMK034,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,,20,C12:0-C30:0,C16:1; C18:1,1.62,,C9-C11,,-,,,,yes,yes ,no,0,APAA18,1.9,,-26.154,-27.149,-0.994
ENC606,UMK,UMK035,Ushimaki,Chubu,Tokai,Aichi,35.207777,136.973055,Final Jomon,,Cooking vessel,X,X,X,85,C14:0-C26:0,C18:1,4.32,"C15i, a; C17i, a",C9-C13,,-,,no,no,yes,yes ,yes ,100,APAA18,3.7,,-29.587,-28.34,1.247
