"ID","SiteName","Region","Location","Latitude","Longitude","Period","PotteryType","PotteryPhase","N","Notes","O.sativa.abundance","O.sativa.proportion","O.sativa.presence","P.miliaceum.abundance","P.miliaceum.proportion","P.miliaceum.presence","S.italica.abundance","S.italica.proportion","S.italica.presence","Millets.abundance","Millets.presence"
1,"Fukuda midden","Chugoku","Kurashiki City",34.578848,133.766674,"Late Half Middle Jomon - First Half Final Jomon",NA,NA,8008,"NA ; Counts: 8008",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
2,"Oishi","Northern Kyushu","Bungoono City",32.984188,131.590692,"Late Jomon",NA,NA,284,"NA ; Counts: 284",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
3,"Wakudoishi","Southern Kyushu","Kikuchi Gun, Ozu City",32.876564,130.87303,"Late Jomon",NA,NA,1061,"NA ; Counts: 1061",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
4,"Kamikaseda","Southern Kyushu","Minamisatsuma City, Kaseda",32.4201,130.3214,"Late Jomon",NA,NA,1,"NA ; Counts: 1",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
5,"Enokihara","Southern Kyushu","Kanoya City",31.3782,130.852,"Final Jomon",NA,NA,590,"NA ; Counts: 590",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
6,"Shimizutennozan","Tokai","Shizuoka City",34.995536,138.331487,"Late Jomon - End of Early Yayoi",NA,NA,5726,"NA ; Counts: 5726",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
7,"Toriihara","Southern Kyushu","Kumamoto City",32.794546,130.692896,"Late Jomon/Final Jomon",NA,NA,761,"NA ; Counts: 761",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
8,"Babagawa","Kinki","Higashiosaka City",34.662778,135.572867,"Final Jomon",NA,NA,2733,"NA ; Counts: 2733",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
9,"Chiamigaito*","Central Highlands","Kiryu City",36.374733,139.34966,"Final Jomon",NA,NA,4096,"NA ; Counts: 4096",0,0,FALSE,1,0.000244140625,TRUE,0,0,FALSE,1,TRUE
10,"Shimofuda","Kanto","Chofu City",35.652341,139.546324,"Final Jomon - Early Yayoi",NA,NA,11392,"NA ; Counts: 11392",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
11,"Eriana","Central Highlands","Matsumoto City",36.22805,137.969046,"Late Jomon -  Final Jomon",NA,NA,56,"NA ; Counts: 56",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
12,"Shinohara","Kinki","Kobe City",34.650884,135.065325,"Final Jomon",NA,NA,921,"NA ; Counts: 921",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
13,"Fukuda midden","Chugoku","Kurashiki City",34.563283,133.679804,"Final Jomon",NA,NA,NA,"NA ; Counts: overlap with no.1",0,NA,FALSE,0,NA,FALSE,0,NA,FALSE,0,FALSE
14,"Nakayama midden","Chugoku","Hiroshima City",34.392777,132.457525,"Final Jomon",NA,NA,167,"NA ; Counts: 167",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
15,"Iwata","Chugoku","Kumage Gun, Hirao Cho",33.942067,132.076943,"Final Jomon",NA,NA,7779,"NA ; Counts: 7779",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
16,"Aota","Hokuriku","Shibata City",37.9833,139.3667,"Final Jomon",NA,NA,44,"NA ; Counts: 44",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
17,"Itaya III","Chugoku","Iishi Gun, Iinan Cho",34.9934,132.7168,"Final Jomon","Tottaimon","Tottaimon 1",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
18,"Etsuji","Northern Kyushu","Kasuya City",33.620388,130.49735,"Final Jomon","Tottaimon","Tottaimon 1",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
19,"Ishiiiriguchi","Northern Kyushu","Takeda City",33.0691,131.3812,"Final Jomon","Tottaimon","Tottaimon 1",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
20,"Funagatani","Shikoku","Matsuyama City",33.845905,132.754063,"Final Jomon","Tottaimon","Tottaimon 1",2125,"NA ; Counts: 2125",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
21,"Obuchi","Shikoku","Matsuyama City",33.845905,132.754063,"Final Jomon","Tottaimon","Tottaimon 1",1908,"NA ; Counts: 1908",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
22,"Osayuki","Northern Kyushu","Kitakyushu City",33.88708,130.88629,"Final Jomon","Tottaimon","Tottaimon 1",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,0,NA,FALSE,0,FALSE
23,"Nabatake","Northern Kyushu","Karatsu City",33.436224,129.977365,"Initial Yayoi","Tottaimon","Tottaimon 2",600,"NA ; Counts: 600",1,0.00166666666666667,TRUE,0,0,FALSE,4,0.00666666666666667,TRUE,4,TRUE
24,"Magarita","Northern Kyushu","Itoshima City",33.558209,130.201818,"Initial Yayoi","Tottaimon","Tottaimon 2",10,"NA ; Counts: 10",2,0.2,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
25,"Etsuji","Northern Kyushu","Kasuya City",33.620388,130.49735,"Initial Yayoi","Tottaimon","Tottaimon 2",NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
26,"Hashimoto-Ichoda","Northern Kyushu","Fukuoka City",33.596383,130.410767,"Initial Yayoi","Tottaimon","Tottaimon 2",NA,"NA ; Counts: no data",21,NA,TRUE,2,NA,TRUE,5,NA,TRUE,7,TRUE
27,"Kaminakadan","Southern Kyushu","Soo Gun, Sueyoshi Cho",31.633446,131.024278,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
28,"Agata","Shikoku","Imabari City",34.066667,133,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2",232,"NA ; Counts: 232",1,0.00431034482758621,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
29,"Kamigo","Shikoku","Niihama City",33.930957,133.278779,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
30,"Kuchisakai","Kinki","Itami City",34.784348,135.40091,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2",1,"NA ; Counts: 1",1,1,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
31,"Itazuke","Northern Kyushu","Fukuoka City",33.596383,130.410767,"Early Yayoi","Tottaimon","Tottaimon 5",2037,"NA ; Counts: 2037",8,0.0039273441335297,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
32,"Kurotsuchi","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2/3",1420,"NA ; Counts: 1420",5,0.00352112676056338,TRUE,0,0,FALSE,10,0.00704225352112676,TRUE,10,TRUE
33,"Kurotsuchi","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"Early Yayoi",NA,NA,NA,"NA ; Counts: NA",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
34,"Kurotsuchi","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"Middle Yayoi",NA,NA,NA,"NA ; Counts: NA",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
35,"Sakamoto B","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2/3",507,"NA ; Counts: 507",1,0.0019723865877712,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
36,"Sakamoto B","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"Middle Yayoi",NA,NA,NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
37,"Hoshihara","Southern Kyushu","Miyakonojo City",31.76594,131.0921,"Final Jomon - Middle Yayoi",NA,NA,2084,"NA ; Counts: 2084",0,0,FALSE,0,0,FALSE,1,0.000479846449136276,TRUE,1,TRUE
38,"Kaminakadan","Southern Kyushu","Soo Gun, Sueyoshi Cho",31.633446,131.024278,"End of Final Jomon - Initial Yayoi","Tottaimon","Tattaimon 3",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
39,"Inarizako","Southern Kyushu","Shibushi City",31.477514,131.0998,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 2/3",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
40,"Mori III","Chugoku","Iishi Gun, Iinan Cho",34.993423,132.716775,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no data",1,NA,TRUE,1,NA,TRUE,NA,NA,TRUE,NA,TRUE
41,"Santatani I","Chugoku","Izumo City",35.359779,132.754273,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 3",NA,"NA ; Counts: no data",0,NA,FALSE,1,NA,TRUE,0,NA,FALSE,1,TRUE
42,"Nishikawatsu","Chugoku","Matsue City",35.448574,133.135838,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 3",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,3,NA,TRUE,3,TRUE
43,"Ishidai","Chugoku","Matsue City",35.448574,133.135838,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
44,"Kitakobuujimoto","Chugoku","Matsue City",35.448574,133.135838,"Early Yayoi","Tottaimon","Tottaimon 5",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
45,"Aoki","Chugoku","Yonago City",35.426892,133.329237,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 3",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
46,"Suwaminamiyamazaki","Chugoku","Yonago City",35.426892,133.329237,"Early Yayoi","Tottaimon","Tottaimon 5",NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
47,"Motodakayuminoki","Chugoku","Tottori City",35.520359,134.223148,"Early Yayoi","Tottaimon","Tottaimon 5",NA,"NA ; Counts: no data",20,NA,TRUE,26,NA,TRUE,23,NA,TRUE,49,TRUE
48,"Chizumakurada","Chugoku","Yazu Gun, Chizu Cho",35.260375,134.227314,"Early Yayoi","Tottaimon","Tottaimon 5",15,"NA ; Counts: 15",2,0.133333333333333,TRUE,5,0.333333333333333,TRUE,3,0.2,TRUE,8,TRUE
49,"Minamimizote","Chugoku","Soja City",34.675516,133.701067,"Final Jomon - Early Yayoi","Tottaimon",NA,NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
50,"Jotonakashima","Chugoku","Kurashiki City",34.563283,133.679804,"Final Jomon - Early Yayoi","Tottaimon",NA,NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
51,"Hyakkengawasawada","Chugoku","Okayama City",34.659161,133.929598,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
52,"Satomae","Chugoku","Okayama City",34.659161,133.929598,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
53,"Tsushimaokadai","Chugoku","Okayama City",34.659161,133.929598,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
54,"Agata","Shikoku","Imabari City",34.066667,133,"Initial Yayoi - Early Yayoi","Tottaimon","Tottaimon 3/4",588,"NA ; Counts: 588",0,0,FALSE,0,0,FALSE,1,0.00170068027210884,TRUE,1,TRUE
55,"Hayashibojiro","Shikoku","Takamatsu City",34.34053,134.113145,"Initial Yayoi - Early Yayoi","Tottaimon","Tottaimon 3/4",NA,"NA ; Counts: nodata",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
56,"Kanoura B","Shikoku","Imabari City",34.066667,133,"Initial Yayoi - Early Yayoi","Tottaimon","Tottaimon 3/4",NA,"NA ; Counts: nodata",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
57,"Higashinakasuji","Shikoku","Takamatsu City",34.34053,134.113145,"Initial Yayoi - Early Yayoi","Tottaimon","Tottaimon 3/4",NA,"NA ; Counts: nodata",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
58,"Miyanomoto","Shikoku","Anan City",33.905981,134.683892,"Early Yayoi","Tottaimon","Tottaimon 5",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
59,"Myodo","Shikoku","Tokushima City",34.04062,134.544596,"Early Yayoi","Tottaimon","Tottaimon 5",NA,"NA ; Counts: no data",3,NA,TRUE,0,NA,FALSE,2,NA,TRUE,2,TRUE
60,"Mitani","Shikoku","Tokushima City",34.04062,134.544596,"Early Yayoi","Tottaimon","Tottaimon 5",NA,"NA ; Counts: no data",3,NA,TRUE,16,NA,TRUE,10,NA,TRUE,26,TRUE
61,"Sho-kuramoto","Shikoku","Tokushima City",34.04062,134.544596,"Early Yayoi","Tottaimon","Tottaimon 5",NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,1,NA,TRUE,1,TRUE
62,"Itoku","Shikoku","Tosa City",33.494914,133.438793,"Initial Yayoi - Early Yayoi","Tottaimon",NA,1889,"NA ; Counts: 1889",1,0.000529380624669137,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
63,"Funabashi","Kinki","Kashihara City",34.56917,135.627047,"Initial Yayoi - Early Yayoi","Tottaimon","Tottaimon 3/4",1586,"NA ; Counts: 1586",6,0.00378310214375788,TRUE,0,0,FALSE,1,0.000630517023959647,TRUE,1,TRUE
64,"Kyodai-konai","Kinki","Kyoto City",35.010362,135.768735,"Initial Yayoi - Early Yayoi","Tottaimon","Tottaimon 3/5",1872,"NA ; Counts: 1872",1,0.000534188034188034,TRUE,5,0.00267094017094017,TRUE,4,0.00213675213675214,TRUE,9,TRUE
65,"Kuchisakai","Kinki","Itami City",34.784348,135.40091,"Early Yayoi","Tottaimon","Tottaimon 5",770,"NA ; Counts: 770",0,0,FALSE,1,0.0012987012987013,TRUE,2,0.0025974025974026,TRUE,3,TRUE
66,"Kamide A","Kinki","Gamo Gun, Azuchi Cho",35.124919,136.10199,"Early Yayoi","Tottaimon","Tottaimon 5",175,"NA ; Counts: 175",1,0.00571428571428571,TRUE,7,0.04,TRUE,3,0.0171428571428571,TRUE,10,TRUE
67,"Mizuhai-kitoragawa","Kinki","Higashiosaka City",34.662778,135.572867,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no data",0,NA,FALSE,9,NA,TRUE,0,NA,FALSE,9,TRUE
68,"Onishi","Tokai","Toyohashi City",34.69054,137.349434,"End of Final Jomon - Initial Yayoi","Tottaimon","Tottaimon 3",902,"NA ; Counts: 902",0,0,FALSE,1,0.00110864745011086,TRUE,0,0,FALSE,1,TRUE
69,"Inariyama","Tokai","Toyokawa City",34.838323,137.339823,"Final Jomon - Early Yayoi","Tottaimon",NA,1742,"NA ; Counts: 1742",0,0,FALSE,0,0,FALSE,1,0.000574052812858783,TRUE,1,TRUE
70,"Ogasato","Tokai","Toyohashi City",34.69054,137.349434,"Final Jomon - Early Yayoi","Tottaimon",NA,740,"NA ; Counts: 740",0,0,FALSE,1,0.00135135135135135,TRUE,0,0,FALSE,1,TRUE
71,"Gokanmori","Tokai","Toyohashi City",34.69054,137.349434,"Final Jomon - Early Yayoi","Tottaimon",NA,3655,"Total number of pottery observed ; Counts: 3655",0,0,FALSE,5,0.00136798905608755,TRUE,0,0,FALSE,5,TRUE
72,"Asodaohashi","Tokai","Toyokawa City",34.838323,137.339823,"Final Jomon - Early Yayoi","Tottaimon",NA,234,"Total number of pottery observed ; Counts: 234",0,0,FALSE,1,0.00427350427350427,TRUE,3,0.0128205128205128,TRUE,4,TRUE
73,"Saragun-jori","Kinki","Shijonawate City",34.742296,135.631815,"Early Yayoi","Tottaimon","Tottaimon 5",565,"NA ; Counts: 565",0,0,FALSE,0,0,FALSE,9,0.015929203539823,TRUE,9,TRUE
74,"Saragun-jori","Kinki","Shijonawate City",34.742296,135.631815,"Early Yayoi","Ongagawa",NA,NA,"NA ; Counts: NA",15,NA,TRUE,0,NA,FALSE,1,NA,TRUE,1,TRUE
75,"Tamura","Shikoku","Mangoki City",33.573561,133.647814,"Early Yayoi","Ongagawa",NA,864,"NA ; Counts: 864",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
76,"Tatsukawagojo","Shikoku","Zentsuji City",34.219389,133.797465,"Early Yayoi","Ongagawa",NA,25,"NA ; Counts: 25",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
77,"Mitani","Shikoku","Tokushima City",34.04062,134.544596,"Early Yayoi","Ongagawa",NA,35,"Potential pottery with seed impressions ; Counts: 35",1,0.0285714285714286,TRUE,0,0,FALSE,1,0.0285714285714286,TRUE,1,TRUE
78,"Sho-Kuramoto","Shikoku","Tokushima City",34.04062,134.544596,"Early Yayoi","Ongagawa",NA,NA,"NA ; Counts: do data",NA,NA,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE
79,"Ishidai","Chugoku","Matsue City",35.448574,133.135838,"Early Yayoi","Ongagawa",NA,NA,"NA ; Counts: do data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
80,"Saragun-jori","Kinki","Shijonawate City",34.742296,135.631815,"Early Yayoi","Ongagawa",NA,NA,"same to no.74 ; Counts: NA",15,NA,TRUE,0,NA,FALSE,1,NA,TRUE,1,TRUE
81,"Uriwari","Kinki","Osaka City",34.602067,135.544885,"Early Yayoi","Ongagawa",NA,4038,"NA ; Counts: 4038",16,0.00396235760277365,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
82,"Nishishiga","Tokai","Nagoya City",35.168132,136.881663,"Early Yayoi","Ongagawa",NA,20819,"Total number of pottery observed ; Counts: 20819",15,0.000720495701042317,TRUE,1,4.80330467361545e-05,TRUE,0,0,FALSE,1,TRUE
83,"Niijimatawara","Tokai","Tokyo Metropolis, Niijima island",34.3702797,139.2694835,"Early Yayoi","Ongagawa",NA,11676,"NA ; Counts: 11676",0,0,FALSE,0,0,FALSE,1,8.56457690990065e-05,TRUE,1,TRUE
84,"Tokuzo","Kinki","Hidaka Gun, Minabe Cho",33.785338,135.333474,"Early Yayoi","Ongagawa",NA,NA,"NA ; Counts: no　data",3,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
85,"Tokuzo","Kinki","Hidaka Gun, Minabe Cho",33.785338,135.333474,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no　data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
86,"Tachino","Kinki","Nishimuro, Susami Cho",33.50786,135.5855,"Early Yayoi","Tottaimon","Tottaimon 4/5",NA,"NA ; Counts: no　data",1,NA,TRUE,1,NA,TRUE,2,NA,TRUE,3,TRUE
87,"Tachino","Kinki","Nishimuro, Susami Cho",33.50786,135.5855,"Early Yayoi","Ongagawa",NA,NA,"NA ; Counts: no　data",1,NA,TRUE,1,NA,TRUE,0,NA,FALSE,1,TRUE
88,"Karasumazaki**","Kinki","Kusatsu City",35.012856,135.958981,"Early Yayoi","Ongagawa",NA,225,"NA ; Counts: 225",2,0.00888888888888889,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
89,"Karasumazaki","Kinki","Kusatsu City",35.012856,135.958981,"Early Yayoi","Fusenmon","Fusenmon 3",156,"NA ; Counts: 156",0,0,FALSE,3,0.0192307692307692,TRUE,0,0,FALSE,3,TRUE
90,"Asahi","Tokai","Nagoya City",35.168132,136.881663,"Early Yayoi","Ongagawa",NA,729,"NA ; Counts: 729",10,0.0137174211248285,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
91,"Asahi","Tokai","Nagoya City",35.168132,136.881663,"Early Yayoi","Jokonmon",NA,NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
92,"Asahi","Tokai","Nagoya City",35.168132,136.881663,"Middle Yayoi",NA,NA,NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,1,NA,TRUE,1,TRUE
93,"Metobagawa","Central Highlands","Matsumoto City",36.22805,137.969046,"Early Yayoi","Fusenmon",NA,9364,"NA ; Counts: 9364",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
94,"Miyanodai","Tokai","Shizuoka City",34.99553,138.331487,"End of Final Jomon - Initial Yayoi","Fusenmon","Fusenmon 1",523,"NA ; Counts: 523",0,0,FALSE,0,0,FALSE,0,0,FALSE,0,FALSE
95,"Hanareyama","Central Highlands","Azumino City",36.332527,137.890842,"Early Yayoi","Fusenmon","Fusenmon 2/3",5784,"NA ; Counts: 5784",0,0,FALSE,4,0.000691562932226833,TRUE,2,0.000345781466113416,TRUE,6,TRUE
96,"Yazaki","Central Highlands","Iida City",35.464917,137.829765,"Early Yayoi","Fusenmon","Fusenmon 2",1320,"NA ; Counts: 1320",0,0,FALSE,2,0.00151515151515152,TRUE,41,0.0310606060606061,TRUE,43,TRUE
97,"Ishigyo","Central Highlands","Iida City",35.464917,137.829765,"End of Final Jomon - Initial Yayoi","Fusenmon","Fusenmon 1 or Tottaimon",360,"NA ; Counts: 360",1,0.00277777777777778,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
98,"Ishigyo","Central Highlands","Iida City",35.464917,137.829765,"Early Yayoi","Fusenmon","Fusenmon 2/4",NA,"NA ; Counts: NA",1,NA,TRUE,26,NA,TRUE,34,NA,TRUE,60,TRUE
99,"Gongendoumae","Central Highlands","Iida City",35.464917,137.829765,"Early Yayoi","Fusenmon","Fusenmon 2/4",NA,"NA ; Counts: didn't count",0,NA,FALSE,16,NA,TRUE,9,NA,TRUE,25,TRUE
100,"Oshuku","Central Highlands","Shimoina Gun, Takamori Cho",35.53277,137.876429,"Early Yayoi","Fusenmon","Fusenmon 2/4",182,"NA ; Counts: 182",0,0,FALSE,2,0.010989010989011,TRUE,13,0.0714285714285714,TRUE,15,TRUE
101,"Miyamada","Central Highlands","Shimoina Gun, Takamori Cho",35.53277,137.876429,"Early Yayoi","Fusenmon","Fusenmon 2/4",42,"NA ; Counts: 42",0,0,FALSE,9,0.214285714285714,TRUE,5,0.119047619047619,TRUE,14,TRUE
102,"Kitakata-kitanohara","Central Highlands","Iida City",35.464917,137.829765,"Early Yayoi","Fusenmon","Fusenmon 2/4",133,"NA ; Counts: 133",0,0,FALSE,19,0.142857142857143,TRUE,4,0.0300751879699248,TRUE,23,TRUE
103,"Eriana","Central Highlands","Matsumoto City",36.22805,137.969046,"Early Yayoi","Fusenmon","Fusenmon 2/4",56,"All of numbers colored yellow are 0 ; Counts: 56",0,0,FALSE,35,0.625,TRUE,12,0.214285714285714,TRUE,47,TRUE
104,"Eriana","Central Highlands","Matsumoto City",36.22805,137.969046,"End of Final Jomon/Initial Yayoi",NA,NA,NA,"NA ; Counts: NA",0,NA,FALSE,12,NA,TRUE,5,NA,TRUE,17,TRUE
105,"Ishigo","Central Highlands","Matsumoto City",36.22805,137.969046,"Early Yayoi","Fusenmon","Fusenmon 3",7,"NA ; Counts: 7",0,0,FALSE,0,0,FALSE,NA,NA,TRUE,NA,TRUE
106,"Tochigahara","Central Highlands","Omachi City",36.515991,137.85755,"Early Yayoi","Fusenmon","Fusenmon 3",1297,"NA ; Counts: 1297",0,0,FALSE,22,0.0169622205088666,TRUE,32,0.0246723207401696,TRUE,54,TRUE
107,"Ishinotsubo","Central Highlands","Nirasaki City",35.703184,138.454826,"Early Yayoi","Fusenmon","Fusenmon 2/3",302,"NA ; Counts: 302",0,0,FALSE,4,0.0132450331125828,TRUE,0,0,FALSE,4,TRUE
108,"Ishinotsubo","Central Highlands","Nirasaki City",35.703184,138.454826,"Early Yayoi","Fusenmon","Fusenmon 4",NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
109,"Nakamichi***","Central Highlands","Nirasaki City",35.703184,138.454826,"Early Yayoi","Fusenmon","Fusenmon 2/3",71,"NA ; Counts: 71",0,0,FALSE,18,0.253521126760563,TRUE,4,0.0563380281690141,TRUE,22,TRUE
110,"Yashikidaira","Central Highlands","Hokuto City",35.862099,138.315393,"Early Yayoi","Fusenmon","Fusenmon 2",NA,"NA ; Counts: no data",0,NA,FALSE,1,NA,TRUE,5,NA,TRUE,6,TRUE
111,"Yashikidaira","Central Highlands","Hokuto City",35.862099,138.315393,"Early Yayoi","Fusenmon","Fusenmon 2/3",NA,"NA ; Counts: no data",0,NA,FALSE,1,NA,TRUE,2,NA,TRUE,3,TRUE
112,"Ohira","Tokai","Sunto Gun, Nagaizumi Cho",35.137823,138.903913,"Early Yayoi","Fusenmon","Fusenmon 4",38,"NA ; Counts: 38",0,0,FALSE,7,0.184210526315789,TRUE,1,0.0263157894736842,TRUE,8,TRUE
113,"Sannokuraochiai","Central Highlands","Takasaki City",36.4166,138.8,"Early Yayoi","Fusenmon","Fusenmon 2",128,"NA ; Counts: 128",0,0,FALSE,1,0.0078125,TRUE,0,0,FALSE,1,TRUE
114,"Sannokuraochiai","Central Highlands","Takasaki City",36.4166,138.8,"Early Yayoi","Fusenmon","Fusenmon 3",NA,"NA ; Counts: NA",0,NA,FALSE,1,NA,TRUE,5,NA,TRUE,6,TRUE
