"ID","SiteName","Region","Location","Latitude","Longitude","Period","PotteryType","PotteryPhase","N","Notes","O.sativa.abundance","O.sativa.proportion","O.sativa.presence","P.miliaceum.abundance","P.miliaceum.proportion","P.miliaceum.presence","S.italica.abundance","S.italica.proportion","S.italica.presence","Millets.abundance","Millets.presence"
115,"Hanawadai","Kanto","Katori Gun, Tako Cho",35.792164,140.468033,"Early Yayoi","Fusenmon","Fusenmon 2",854,"includes Final Jomon pottery other than Fusenmon pottery ; Counts: 854",0,0,FALSE,0,0,FALSE,1,0.00117096018735363,TRUE,1,TRUE
116,"Niijimatawara","Tokai","Tokyo Metropolis, Niijima island",34.3702797,139.2694835,"End of Final Jomon - Initial Yayoi","Fusenmon","Fusenmon 1",11676,"Total number of pottery observed ; Counts: 11676",0,0,FALSE,1,8.56457690990065e-05,TRUE,0,0,FALSE,1,TRUE
117,"Niijimatawara","Tokai","Tokyo Metropolis, Niijima island",34.3702797,139.2694835,"Early Yayoi","Fusenmon",NA,NA,"NA ; Counts: NA",0,NA,FALSE,3,NA,TRUE,0,NA,FALSE,3,TRUE
118,"Mishaguji","Central Highlands","Chino City",35.99215,138.151453,"End of Final Jomon - Initial Yayoi","Fusenmon","Fusenmon 1",12,"Potential pottery with seed impressions ; Counts: 12",0,0,FALSE,1,0.0833333333333333,TRUE,0,0,FALSE,1,TRUE
119,"Sanno","Tokai","Fuji City",35.160516,138.674661,"End of Final Jomon - Initial Yayoi","Fusenmon","Fusenmon 1",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
120,"Fukuzawa","Central Highlands","Shiojiri City",36.111369,137.95219,"Early Yayoi","Fusenmon","Fusenmon 3/4",1232,"NA ; Counts: 1232",2,0.00162337662337662,TRUE,32,0.025974025974026,TRUE,78,0.0633116883116883,TRUE,110,TRUE
121,"Shimosakaizawa","Central Highlands","Shiojiri City",36.111369,137.95219,"Early Yayoi","Fusenmon","Fusenmon 4",2167,"NA ; Counts: 2167",0,0,FALSE,1,0.000461467466543609,TRUE,0,0,FALSE,1,TRUE
122,"Shimosakaizawa","Central Highlands","Shiojiri City",36.111369,137.95219,"Early Yayoi - Middle Yayoi",NA,NA,NA,"NA ; Counts: NA",0,NA,FALSE,3,NA,TRUE,0,NA,FALSE,3,TRUE
123,"Shimosakaizawa","Central Highlands","Shiojiri City",36.111369,137.95219,"Middle Yayoi","Jokonmon",NA,NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
124,"Izumi A","Hokuriku","Joetsu City",37.17009,138.224701,"Early Yayoi","Fusenmon","Fusenmon 2",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,1,NA,TRUE,1,TRUE
125,"Izumi A","Hokuriku","Joetsu City",37.17009,138.224701,"Early Yayoi","Fusenmon","Fusenmon 3",NA,"NA ; Counts: no data",0,NA,FALSE,0,NA,FALSE,2,NA,TRUE,2,TRUE
126,"Izumi A","Hokuriku","Joetsu City",37.17009,138.224701,"Early Yayoi","Fusenmon","Fusenmon 3/4",NA,"NA ; Counts: no data",0,NA,FALSE,12,NA,TRUE,27,NA,TRUE,39,TRUE
127,"Shimootsukimine","Kanto","Hadano City",35.373145,139.27351,"Early Yayoi","Fusenmon",NA,1,"NA ; Counts: 1",0,0,FALSE,0,0,FALSE,1,1,TRUE,1,TRUE
128,"Joshikimen","Kanto","Fukaya City",36.137888,139.270559,"Early Yayoi",NA,NA,1198,"NA ; Counts: 1198",0,0,FALSE,1,0.000834724540901503,TRUE,1,0.000834724540901503,TRUE,2,TRUE
129,"Yagashira","Kanto","Ashigarakami Gun, Ohi Machi",35.315515,139.154912,"Early Yayoi",NA,NA,15,"NA ; Counts: 15",0,0,FALSE,1,0.0666666666666667,TRUE,0,0,FALSE,1,TRUE
130,"Nakazato","Kanto","Hadano City",35.373145,139.27351,"Early Yayoi",NA,NA,14,"Fusenmon ; Counts: 14",0,0,FALSE,1,0.0714285714285714,TRUE,0,0,FALSE,1,TRUE
131,"Kitahara","Kanto","Aiko Gun, Kiyokawa Mura",35.2935,139.1313,"Early Yayoi",NA,NA,150,"NA ; Counts: 150",0,0,FALSE,4,0.0266666666666667,TRUE,2,0.0133333333333333,TRUE,6,TRUE
132,"Kamimura","Kanto","Aiko Gun, Kiyokawa Mura",35.2935,139.1313,"Early Yayoi",NA,NA,675,"NA ; Counts: 675",1,0.00148148148148148,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
133,"Nyoraido A","Kanto","Kodama Gun, Misato Mura",36.20604,139.170465,"Early Yayoi",NA,NA,96,"NA ; Counts: 96",0,0,FALSE,0,0,FALSE,1,0.0104166666666667,TRUE,1,TRUE
134,"Miyanomae","Central Highlands","Nirasaki City",35.703184,138.454826,"Early Yayoi",NA,NA,116,"NA ; Counts: 116",2,0.0172413793103448,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
135,"Kaminakamaru","Central Highlands","Fujiyoshida City",35.481018,138.777878,"Early Yayoi",NA,NA,NA,"NA ; Counts: no data",1,NA,TRUE,1,NA,TRUE,1,NA,TRUE,2,TRUE
136,"Takizawa","Central Highlands","Minamitsuru Gun, Fujikawaguchiko Cho",35.497314,138.755199,"Early Yayoi",NA,"Yanagitsubo",2,"NA ; Counts: 2",2,1,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
137,"Uwatakeno","Southern Tohoku","Mogami Gun, Okura Mura",38.6825032,140.2218834,"Early Yayoi",NA,NA,NA,"NA ; Counts: （38,953.7g）",0,NA,FALSE,0,NA,FALSE,0,NA,FALSE,0,FALSE
138,"Agata","Shikoku","Imabari City",34.268214,133.027003,"Early Yayoi - Middle Yayoi",NA,NA,820,"NA ; Counts: 820",13,0.0158536585365854,TRUE,6,0.00731707317073171,TRUE,1,0.00121951219512195,TRUE,7,TRUE
139,"Sho-kuramoto","Shikoku","Tokushima City",34.04062,134.544596,"Early Yayoi - Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",0,NA,FALSE,4,NA,TRUE,1,NA,TRUE,5,TRUE
140,"Niijimatawara","Tokai","Tokyo Metropolis, Niijima island",34.3702797,139.2694835,"Early Yayoi - Middle Yayoi","Jokonmon",NA,11676,"Total number of pottery observed ; Counts: 11676",2,0.000171291538198013,TRUE,5,0.000428228845495033,TRUE,1,8.56457690990065e-05,TRUE,6,TRUE
141,"Onishi","Tokai","Toyohashi City",34.69054,137.349434,"Early Yayoi","Jokonmon","Kashio",902,"NA ; Counts: 902",1,0.00110864745011086,TRUE,3,0.00332594235033259,TRUE,0,0,FALSE,3,TRUE
142,"Gokanmori","Tokai","Toyohashi City",34.69054,137.349434,"Early Yayoi - Middle Yayoi","Jokonmon",NA,3655,"Total number of pottery observed ; Counts: 3655",1,0.00027359781121751,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
143,"Asodaohashi","Tokai","Toyokawa City",34.838323,137.339823,"Early Yayoi - Middle Yayoi","Jokonmon",NA,234,"Total number of pottery observed ; Counts: 234",0,0,FALSE,1,0.00427350427350427,TRUE,2,0.00854700854700855,TRUE,3,TRUE
144,"Tonohata","Tokai","Hamamatsu City",34.797947,137.583922,"Early Yayoi - Middle Yayoi","Jokonmon",NA,362,"NA ; Counts: 362",0,0,FALSE,2,0.00552486187845304,TRUE,2,0.00552486187845304,TRUE,4,TRUE
145,"Shibusawa","Tokai","Fujinomiya City",35.218407,138.615691,"Early Yayoi - Middle Yayoi","Jokonmon",NA,426,"NA ; Counts: 426",3,0.00704225352112676,TRUE,11,0.0258215962441315,TRUE,11,0.0258215962441315,TRUE,22,TRUE
146,"Nishishiga","Tokai","Nagoya City",35.168132,136.881663,"Early Yayoi","Jokonmon",NA,20819,"Total number of pottery observed ; Counts: 20819",6,0.000288198280416927,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
147,"Hirasawadomei","Kanto","Hadano City",35.373145,139.27351,"Early Yayoi","Jokonmon",NA,100,"NA ; Counts: 100",0,0,FALSE,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE
148,"Hirasawadomei","Kanto","Hadano City",35.373145,139.27351,"Early Yayoi","Jokonmon",NA,2,"NA ; Counts: 2",1,0.5,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
149,"Nakayashiki","Kanto","Ashigarakami Gun, Oi Machi",35.315515,139.154912,"Early Yayoi - Middle Yayoi","Jokonmon",NA,NA,"NA ; Counts: no data",0,NA,FALSE,21,NA,TRUE,15,NA,TRUE,36,TRUE
150,"Oki II","Central Highlands","Fujioka City",36.245789,139.064132,"Early Yayoi - Middle Yayoi","Jokonmon","Oki II",2580,"NA ; Counts: 2580",1,0.000387596899224806,TRUE,13,0.00503875968992248,TRUE,8,0.00310077519379845,TRUE,21,TRUE
151,"Uwahitomi","Central Highlands","Annaka City",36.328684,138.89695,"First half of Middle Yayoi","Jokonmon",NA,154,"NA ; Counts: 154",0,0,FALSE,2,0.012987012987013,TRUE,3,0.0194805194805195,TRUE,5,TRUE
152,"Nakazatohara","Central Highlands","Tomioka City",36.258112,138.900904,"First half of Middle Yayoi","Jokonmon","Oki II",4,"NA ; Counts: 4",0,0,FALSE,17,4.25,TRUE,6,1.5,TRUE,23,TRUE
153,"Nanokaichikannonmae","Central Highlands","Tomioka City",36.258112,138.900904,"First half of Middle Yayoi",NA,NA,15,"NA ; Counts: 15",0,0,FALSE,8,0.533333333333333,TRUE,10,0.666666666666667,TRUE,18,TRUE
154,"Tengumori midden","Northern Tohoku","Misawa City",40.695283,141.390516,"Early Yayoi",NA,"Sunazawa",1,"NA ; Counts: 1",1,1,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
155,"Sunazawa","Northern Tohoku","Hirosaki City",40.595644,140.478415,"Early Yayoi",NA,"Sunazawa",713,"NA ; Counts: 713",5,0.00701262272089762,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
156,"Jizoden","Northern Tohoku","Akita City",39.675183,140.14888,"Early Yayoi",NA,"Parallel to Sunazawa",2,"NA ; Counts: 2",1,0.5,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
157,"Niijimatawara","Tokai","Tokyo Metropolis, Niijima island",34.3702797,139.2694835,"Early Yayoi",NA,NA,11676,"Total number of pottery observed ; Counts: 11676",1,8.56457690990065e-05,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
158,"Niijimatawara","Tokai","Tokyo Metropolis, Niijima island",34.3702797,139.2694835,"Early Yayoi - Middle Yayoi",NA,NA,NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,1,NA,TRUE,1,TRUE
159,"Nishishiga","Tokai","Nagoya City",35.168132,136.881663,"Early Yayoi - Middle Yayoi",NA,NA,20819,"NA ; Counts: 20819",21,0.00100869398145924,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
160,"Usagi II","Northern Tohoku","Oshu City",39.149182,141.149266,"Early Yayoi - Middle Yayoi",NA,NA,NA,"I could not find the data of this site. ; Counts: NA",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
161,"Daikojishinjo","Northern Tohoku","Hirakawa City",40.582458,140.572701,"Middle Yayoi",NA,NA,13140,"NA ; Counts: 13140",1,7.6103500761035e-05,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
162,"Izawa","Northern Tohoku","Hirakawa City",40.582458,140.572701,"Middle Yayoi",NA,NA,368,"NA ; Counts: 368",1,0.00271739130434783,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
163,"Komadomari","Northern Tohoku","Hirakawa City",40.582458,140.572701,"Middle Yayoi",NA,NA,3597,"NA ; Counts: 3597",1,0.000278009452321379,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
164,"Kotoge","Northern Tohoku","Hachinohe City",40.524572,141.507826,"Early Yayoi",NA,NA,NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
165,"Hatauchi","Northern Tohoku","Hachinohe City",40.524572,141.507826,"Early Yayoi",NA,NA,NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
166,"Matsunagane","Northern Tohoku","Hachinohe City",40.524572,141.507826,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",4,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
167,"Babano II","Northern Tohoku","Kunohe Gun, Karumai Machi",40.313514,141.513249,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
168,"Nakazaikeminami","Southern Tohoku","Sendai City",38.26889,140.87194,"Middle Yayoi",NA,NA,291,"NA ; Counts: 291",0,0,FALSE,0,0,FALSE,2,0.00687285223367698,TRUE,2,TRUE
169,"Takada B","Southern Tohoku","Sendai City",38.26889,140.87194,"Middle Yayoi",NA,NA,543,"NA ; Counts: 543",4,0.00736648250460405,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
170,"Odaira-goseki","Southern Tohoku","Fukushima City",37.759073,140.383136,"Early Yayoi",NA,NA,389,"NA ; Counts: 389",0,0,FALSE,0,0,FALSE,1,0.0025706940874036,TRUE,1,TRUE
171,"Emata","Southern Tohoku","Yamagata City",38.24056,140.36333,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
172,"Kamiosakuura","Southern Tohoku","Nanyo City",38.055651,140.171932,"Middle Yayoi",NA,NA,10569,"NA ; Counts: 10569",1,9.46163307786924e-05,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
173,"Yokonagane A","Northern Tohoku","Minamiakita Gun, Wakami machi",39.8821354,139.8476772,"First half of Middle Yayoi",NA,NA,3,"NA ; Counts: 3",3,1,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
174,"Sakaikubo","Central Highlands","Matsumoto City",36.22805,137.969046,"First half of Middle Yayoi",NA,NA,547,"NA ; Counts: 547",10,0.0182815356489945,TRUE,15,0.0274223034734918,TRUE,45,0.0822669104204753,TRUE,60,TRUE
175,"Araida B","Central Highlands","Minami-Alps City",35.636964,138.500811,"First half of Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",20,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
176,"Nakanoyahara","Central Highlands","Annaka City",36.328684,138.89695,"First half of Middle Yayoi",NA,NA,333,"NA ; Counts: 333",3,0.00900900900900901,TRUE,25,0.0750750750750751,TRUE,12,0.036036036036036,TRUE,37,TRUE
177,"Izuruhara","Kanto","Sano City",36.312232,139.573155,"First half of Middle Yayoi","Jokonmon",NA,3278,"NA ; Counts: 3278",10,0.00305064063453325,TRUE,3,0.000915192190359976,TRUE,5,0.00152532031726663,TRUE,8,TRUE
178,"Iwanatenjinmae","Kanto","Sakura City",35.743302,140.177984,"First half of Middle Yayoi","Jokonmon",NA,310,"NA ; Counts: 310",3,0.00967741935483871,TRUE,5,0.0161290322580645,TRUE,1,0.0032258064516129,TRUE,6,TRUE
179,"Yokomaguri","Kanto","Kumagaya City",36.203343,139.420226,"First half of Middle Yayoi","Jokonmon",NA,13,"NA ; Counts: 13",1,0.0769230769230769,TRUE,9,0.692307692307692,TRUE,2,0.153846153846154,TRUE,11,TRUE
180,"Iizukakita","Kanto","Kumagaya City",36.203343,139.420226,"First half of Middle Yayoi","Jokonmon",NA,14,"NA ; Counts: 14",0,0,FALSE,3,0.214285714285714,TRUE,0,0,FALSE,3,TRUE
181,"Fukakusa","Kinki","Kyoto City",35.010362,135.768735,"First half of Middle Yayoi",NA,NA,11153,"NA ; Counts: 11153",27,0.00242087330763023,TRUE,0,0,FALSE,1,8.96619743566753e-05,TRUE,1,TRUE
182,"Ikegami","Kanto","Kumagaya City",36.203343,139.420226,"Middle Yayoi",NA,"Ikegami",987,"NA ; Counts: 987",22,0.022289766970618,TRUE,1,0.00101317122593718,TRUE,4,0.00405268490374873,TRUE,5,TRUE
183,"Koshikida","Kanto","Kumagaya City",36.203343,139.420226,"Middle Yayoi",NA,"Ikegami",824,"NA ; Counts: 824",15,0.0182038834951456,TRUE,1,0.00121359223300971,TRUE,3,0.00364077669902913,TRUE,4,TRUE
184,"Komiya","Kanto","Kumagaya City",36.203343,139.420226,"Middle Yayoi",NA,"Ikegami",414,"NA ; Counts: 414",4,0.00966183574879227,TRUE,2,0.00483091787439614,TRUE,0,0,FALSE,2,TRUE
185,"Ajimagotanda","Central Highlands","Shimoina Gun, Takagi Mura",35.521578,137.876661,"Middle Yayoi",NA,"Ajima",1578,"NA ; Counts: 1578",6,0.00380228136882129,TRUE,1,0.000633713561470215,TRUE,4,0.00253485424588086,TRUE,5,TRUE
186,"Mayumida","Central Highlands","Nagano City",36.634907,138.206805,"Middle Yayoi",NA,"Kuribayashi",278,"NA ; Counts: 278",3,0.0107913669064748,TRUE,2,0.00719424460431655,TRUE,2,0.00719424460431655,TRUE,4,TRUE
187,"Haruyama B","Central Highlands","Nagano City",36.634907,138.206805,"Middle Yayoi",NA,"Kuribayashi",241,"NA ; Counts: 241",8,0.033195020746888,TRUE,1,0.004149377593361,TRUE,2,0.00829875518672199,TRUE,3,TRUE
188,"Matsubara-kosokido","Central Highlands","Nagano City",36.634907,138.206805,"Middle Yayoi",NA,"Kuribayashi",258,"NA ; Counts: 258",25,0.0968992248062016,TRUE,2,0.00775193798449612,TRUE,11,0.0426356589147287,TRUE,13,TRUE
189,"Enokida","Central Highlands","Nagano City",36.634907,138.206805,"Middle Yayoi",NA,"Kuribayashi",49,"NA ; Counts: 49",4,0.0816326530612245,TRUE,0,0,FALSE,4,0.0816326530612245,TRUE,4,TRUE
190,"Ohana","Central Highlands","Nagano City",36.634907,138.206805,"Middle Yayoi",NA,"Kuribayashi",143,"NA ; Counts: 143",3,0.020979020979021,TRUE,2,0.013986013986014,TRUE,2,0.013986013986014,TRUE,4,TRUE
191,"Neneishibamiya","Central Highlands","Saku City",36.194409,138.480283,"Middle Yayoi",NA,"Kuribayashi",712,"NA ; Counts: 712",20,0.0280898876404494,TRUE,5,0.00702247191011236,TRUE,12,0.0168539325842697,TRUE,17,TRUE
192,"Gorita","Central Highlands","Saku City",36.194409,138.480283,"Middle Yayoi",NA,"Kuribayashi",753,"NA ; Counts: 753",9,0.0119521912350598,TRUE,0,0,FALSE,1,0.00132802124833997,TRUE,1,TRUE
193,"Nishiipponyanagi","Central Highlands","Saku City",36.194409,138.480283,"Middle Yayoi",NA,"Kuribayashi",755,"NA ; Counts: 755",17,0.0225165562913907,TRUE,2,0.00264900662251656,TRUE,4,0.00529801324503311,TRUE,6,TRUE
194,"Enshobo","Central Highlands","Saku City",36.194409,138.480283,"Middle Yayoi",NA,"Kuribayashi",16,"NA ; Counts: 16",1,0.0625,TRUE,2,0.125,TRUE,5,0.3125,TRUE,7,TRUE
195,"Moridaira","Central Highlands","Saku City",36.194409,138.480283,"Middle Yayoi",NA,"Kuribayashi",259,"NA ; Counts: 259",14,0.0540540540540541,TRUE,3,0.0115830115830116,TRUE,4,0.0154440154440154,TRUE,7,TRUE
196,"Kamitakadashagujihara","Central Highlands","Tomioka City",36.258112,138.900904,"Middle Yayoi",NA,"Kuribayashi",590,"NA ; Counts: 590",10,0.0169491525423729,TRUE,0,0,FALSE,1,0.00169491525423729,TRUE,1,TRUE
197,"Kurokawakozuka","Central Highlands","Tomioka City",36.258112,138.900904,"Middle Yayoi",NA,"Kuribayashi",76,"NA ; Counts: 76",3,0.0394736842105263,TRUE,0,0,FALSE,1,0.0131578947368421,TRUE,1,TRUE
198,"Nikenzaikeharadagashira","Central Highlands","Annaka City",36.328684,138.89695,"Middle Yayoi",NA,"Kuribayashi",704,"NA ; Counts: 704",1,0.00142045454545455,TRUE,1,0.00142045454545455,TRUE,7,0.00994318181818182,TRUE,8,TRUE
199,"Takizawa","Central Highlands","Minamitsuru Gun, Fujikawaguchiko Cho",35.497314,138.755199,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",0,NA,FALSE,6,NA,TRUE,2,NA,TRUE,8,TRUE
200,"Yokaichijikata","Hokuriku","Komatsu City",36.412341,136.451671,"Middle Yayoi","Komatsu","Yokaichijikata 4-5",268,"NA ; Counts: 268",14,0.0522388059701493,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
201,"Uto","Tokai","Shizuoka City",34.995536,138.331487,"Middle Yayoi",NA,"Uto",78,"NA ; Counts: 78",6,0.0769230769230769,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
202,"Harazoe","Tokai","Shizuoka City",34.995536,138.331487,"Middle Yayoi",NA,"Uto",800,"NA ; Counts: 800",4,0.005,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
203,"Otsuka","Kanto","Yokohama City",35.436453,139.653068,"Middle Yayoi",NA,"Miyanodai",3000,"NA ; Counts: 3000",14,0.00466666666666667,TRUE,1,0.000333333333333333,TRUE,1,0.000333333333333333,TRUE,2,TRUE
204,"Ikego","Kanto","Zushi City",35.297324,139.575339,"Middle Yayoi",NA,"Miyanodai",1010,"NA ; Counts: 1010",28,0.0277227722772277,TRUE,5,0.00495049504950495,TRUE,2,0.00198019801980198,TRUE,7,TRUE
205,"Asukayama","Kanto","Tokyo Metropolis, Kita ku",35.774614,139.707831,"Middle Yayoi",NA,"Miyanodai",NA,"NA ; Counts: (43757.5g)",11,NA,TRUE,1,NA,TRUE,0,NA,FALSE,1,TRUE
206,"Jonokoshi","Kanto","Chiba City",35.610352,140.122382,"Middle Yayoi",NA,"Miyanodai",725,"NA ; Counts: 725",2,0.00275862068965517,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
207,"Sunadadai","Kanto","Hadano City",35.373145,139.27351,"Middle Yayoi",NA,NA,613,"NA ; Counts: 613",7,0.0114192495921697,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
208,"Sekido","Kanto","Narita City",35.777621,140.311704,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",7,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
209,"Sekido","Kanto","Narita City",35.777621,140.311704,"Middle Yayoi",NA,"Miyanodai",NA,"NA ; Counts: NA",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
210,"Kuriya","Kanto","Yachiyo City",35.721134,140.095451,"Middle Yayoi",NA,"Miyanodai",NA,"NA ; Counts: no data",2,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
211,"Kawaharaguchibochu","Kanto","Ebina City",35.446353,139.37953,"Middle Yayoi",NA,NA,400,"NA ; Counts: 400",1,0.0025,TRUE,2,0.005,TRUE,0,0,FALSE,2,TRUE
212,"Inakadate","Northern Tohoku","Minamitsugaru Gun, Inakadate Mura",40.628656,140.557436,"Middle Yayoi",NA,"Inakadate",NA,"Site name is not correct. Tareyanagi site ; Counts: no data",5,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
213,"Yubunezawa","Northern Tohoku","Takizawa City",39.753045,141.104654,"Middle Yayoi",NA,"Yubunazawa",NA,"I could not find the reference. ; Counts: NA",1,NA,TRUE,1,NA,TRUE,1,NA,TRUE,2,TRUE
214,"Ienoue","Northern Tohoku","Yamamoto Gun, Mitane Cho",40.000241,140.08145,"Middle Yayoi",NA,NA,1,"NA ; Counts: 1",2,2,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
215,"Sanjukari","Northern Tohoku","Oga City",39.9065,139.932924,"Middle Yayoi",NA,NA,1,"NA ; Counts: 1",4,4,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
216,"Kitajima","Kanto","Kumagaya City",36.203343,139.420226,"Second half of Middle Yayoi",NA,"Kitajima",1500,"NA ; Counts: 1500",10,0.00666666666666667,TRUE,0,0,FALSE,20,0.0133333333333333,TRUE,20,TRUE
217,"Maenakanishi","Kanto","Kumagaya City",36.203343,139.420226,"Second half of Middle Yayoi",NA,"Kitajima",3100,"NA ; Counts: 3100",17,0.00548387096774194,TRUE,1,0.00032258064516129,TRUE,22,0.00709677419354839,TRUE,23,TRUE
218,"Mukaiyama","Kanto","Asaka City",35.824548,139.610169,"Middle Yayoi",NA,"Miyanodai",300,"NA ; Counts: 300",4,0.0133333333333333,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
219,"K-5","Kanto","Ome City",35.785351,139.231336,"Second half of Middle Yayoi",NA,NA,91,"NA ; Counts: 91",1,0.010989010989011,TRUE,0,0,FALSE,2,0.021978021978022,TRUE,2,TRUE
220,"Baba","Kanto","Ome City",35.785351,139.231336,"Second half of Middle Yayoi",NA,NA,5,"NA ; Counts: 5",1,0.2,TRUE,0,0,FALSE,1,0.2,TRUE,1,TRUE
221,"Minamioyama","Southern Tohoku","Aizuwakamatsu City",37.489983,139.927749,"Middle Yayoi",NA,"Minamioyama 2-Kawaharamachikuchi",1308,"NA ; Counts: 1308",2,0.00152905198776758,TRUE,0,0,FALSE,1,0.000764525993883792,TRUE,1,TRUE
222,"Katsuguchimaehata","Southern Tohoku","Fukushima City",38.295716,140.856389,"Second half of Middle Yayoi",NA,"Kawaharamachikuchi",749,"NA ; Counts: 749",9,0.0120160213618158,TRUE,0,0,FALSE,0,0,FALSE,0,FALSE
223,"Takinoiri","Southern Tohoku","Minamiaizu Gun, Shimogo machi",37.2707679,139.8478782,"Second half of Middle Yayoi",NA,"Kawaharamachikuchi",NA,"I could not find the reference. ; Counts: NA",1,NA,TRUE,1,NA,TRUE,0,NA,FALSE,1,TRUE
224,"Kawauchi","Southern Tohoku","Rikuzentakada City",39.027753,141.6255,"Middle Yayoi",NA,"Masugatakakoi",NA,"NA ; Counts: no data",1,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
225,"Ehira","Southern Tohoku","Fukushima City",37.759073,140.383136,"Middle Yayoi",NA,NA,NA,"NA ; Counts: no data",3,NA,TRUE,0,NA,FALSE,0,NA,FALSE,0,FALSE
